party,year,votes,color
Indian Krantikari Lehar,2014,5084,#999
Indian Labour Party (Ambedkar Phule),2014,6390,#999
Indian National Congress,2014,106938242,#019733
Indian National League,2014,11924,#999
Indian National Lok Dal,2014,2799899,#999
Indian Oceanic Party,2014,649,#999
Indian Peace Party,2014,2155,#999
Indian Peoples Green Party,2014,3488,#999
Indian Savarn Samaj Party,2014,16903,#999
Indian Union Muslim League,2014,1100096,#999
Indian Unity Centre,2014,13527,#999
Indians Victory Party,2014,398,#999
Indigenousn People's Front Of Tripura,2014,21326,#999
Inqalab Vikas Dal,2014,2570,#999
JAC,1967,136631,#999
JAC,1971,60103,#999
JANS,2009,226,#999
JAP,1971,139091,#999
JBP,2009,836,#999
JBSP,2009,4967,#999
JC,1991,194,#999
JCGP,2009,2397,#999
JCP,2004,671,#999
JCP,2009,2987,#999
JD,1989,53518521,#8064a2
JD,1991,32589180,#8064a2
JD,1992,39220,#8064a2
JD,1996,27070340,#8064a2
JD,1998,11930209,#8064a2
JD(G),1991,1399702,#8064a2
JD(S),1991,4548,#8064a2
JD(S),1999,3332702,#8064a2
JD(S),2004,5732296,#8064a2
JD(S),2009,3434082,#8064a2
JD(U),1999,11282084,#8064a2
JD(U),2004,9144963,#8064a2
JD(U),2009,6331201,#8064a2
JDP,2004,135685,#999
JDP,2009,102698,#999
JEM,1991,34,#999
JEM,1996,94,#999
JF,1991,5521,#999
JGP,2009,64482,#999
JHJAM,2009,32219,#999
JHJM,2009,58025,#999
JHKP,2009,13313,#999
JHM,1996,9404,#999
JHP,1951,749702,#999
JHP,1957,751830,#999
JHP,2004,8645,#999
JHSP,2004,1310,#999
JJ,2004,734,#999
JJ,2009,573,#999
JJJKMC,2009,1100,#999
JJP,1991,1245,#999
JKAL,1998,20843,#999
JKAL,1999,28889,#999
JKAL,2004,1519,#999
JKANC,2009,9900,#999
JKC,1996,324,#999
JKD,1967,183211,#999
JKD,1977,116961,#999
JKD,1980,254520,#999
JKD,1984,18837,#999
JKD,1989,367838,#999
JKD,2009,2787,#999
JKM,2009,12716,#999
JKMP,1991,23929,#999
JKN,1967,210020,#999
JKN,1977,483192,#999
JKN,1980,493143,#999
JKN,1984,1010243,#999
JKN,1989,71194,#999
JKN,1998,784669,#999
JKN,1999,454481,#999
JKN,2004,493067,#999
JKN,2009,498374,#999
JKNPP,1999,15888,#999
JKNPP,2004,70078,#999
JKNPP,2009,87502,#999
JKP,1971,272563,#999
JKP,1977,126288,#999
JKP,1984,646,#999
JKP,1991,350699,#999
JKP,1996,78907,#999
JKP,1998,63836,#999
JKP,1999,57676,#999
JKP,2004,74364,#999
JKP,2009,125900,#999
JKP(N),1996,102111,#999
JKP(N),1998,181018,#999
JKP(N),1999,101441,#999
JKP(N),2004,67782,#999
JKP(N),2009,104600,#999
JKPDP,2004,267457,#999
JKPDP,2009,522760,#999
JKPP,1996,58132,#999
JKPP,1998,7111,#999
JKPP,2004,1449,#999
JKPP,2009,2498,#999
JM,2009,7826,#999
JMD,1977,5868,#999
JMM,1984,332403,#999
JMM,1989,1032276,#999
JMM,1991,1481900,#999
JMM,1996,1287072,#999
JMM,1998,1324548,#999
JMM,1999,974609,#999
JMM,2004,1846843,#999
JMM,2009,1665173,#999
JMM(M),1996,299055,#999
JMM(M),1998,240897,#999
JMM(U),1999,154433,#999
JMP,2004,2684,#999
JMS,1991,138,#999
JNP,1980,37530228,#999
JNP,1984,16210514,#999
JNP,1985,420082,#999
JNP,1991,37725,#999
JNP (JP),1989,3029743,#999
JNP(S),1980,18574696,#999
JP,1962,467338,#999
JP,1991,9267096,#999
JP,1992,27966,#999
JP,1996,631021,#999
JP,1998,444305,#999
JP,1999,167649,#999
JP,2004,517683,#999
JP,2009,1514,#999
JPC,2009,65403,#999
JPP,1984,95149,#999
JPP,1989,22625,#999
JPP,1991,587,#999
JPP,1996,99599,#999
JPS,1996,15112,#999
JPS,2009,129595,#999
JS,1962,7415170,#999
JSAP,1999,11024,#999
JSMP,1998,828,#999
JSP,2004,1189,#999
JSP,2009,2468,#999
JSS,2009,23925,#999
JSTP,1996,10901,#999
JSWP,1996,278,#999
JTP,1998,5847,#999
JUM,2004,2592,#999
JUP,2009,595,#999
JUSP,1951,63254,#999
JVD,2009,45246,#999
JVM,2009,963274,#999
JVP,2004,3173,#999
Jago Party,2014,27624,#999
Jai Bharat Samanta Party,2014,215607,#999
Jai Hind Party,2014,14754,#999
Jai Hind Samaj Party,2014,27122,#999
Jai Maha Bharath Party,2014,58014,#999
Jai Prakash Janata Dal,2014,27619,#999
Jai Samaikyandhra Party,2014,204235,#999
Jai Vijaya Bharathi Party,2014,4270,#999
Jamat-E-Seratul Mustakim,2014,10564,#999
Jammu & Kashmir National Conference,2014,396713,#999
Jammu & Kashmir National Panthers Party,2014,57103,#999
Jammu & Kashmir People Conference,2014,71154,#999
Jammu & Kashmir Peoples Democratic Party,2014,732644,#999
Jan Morcha,2014,2901,#999
Jan Raajya Party,2014,2543,#999
Jan Raksha Party,2014,1318,#999
Jan Samanta Party,2014,357,#999
Jan Sevak Party,2014,4489,#999
Jan Shakti Ekta Party,2014,6636,#999
Jan-Nyay Dal,2014,4719,#999
Janata Dal  (Secular),2014,3731481,#8064a2
Janata Dal  (United),2014,5992196,#8064a2
Janral Samaj Party,2014,944,#999
Janta Dal Rashtravadi,2014,53864,#999
Janta Raj Party,2014,3846,#999
Jantantra Party,2014,2249,#999
Janvadi Party(Socialist),2014,47690,#999
Jawan Kisan Morcha,2014,2711,#999
Jebamani Janata,2014,1517,#999
Jharkhand Anushilan Party,2014,12240,#999
Jharkhand Disom Party,2014,109843,#999
Jharkhand Mukti Morcha,2014,1637990,#999
Jharkhand Mukti Morcha  (Ulgulan),2014,3512,#999
Jharkhand Party,2014,203869,#999
Jharkhand Party  (Naren),2014,16670,#999
Jharkhand Vikas Dal,2014,10870,#999
Jharkhand Vikas Morcha (Prajatantrik),2014,1579772,#999
KCJ,1984,598113,#999
KCM,1989,352191,#999
KCM,1991,384255,#999
KCP,1977,526937,#999
KCP,1996,581868,#999
KCVP,1996,31136,#999
KCVP,1998,19202,#999
KCVP,1999,73012,#999
KCVP,2009,2269,#999
KDC,1989,322,#999
KDC,2009,1341,#999
KDP,1991,164,#999
KEC,1967,321219,#999
KEC,1971,542431,#999
KEC,1977,491674,#999
KEC,1980,356997,#999
KEC,1984,258591,#999
KEC,1989,68811,#999
KEC,1991,319933,#999
KEC,1996,320539,#999
KEC,1998,327649,#999
KEC,1999,365313,#999
KEC,2004,353905,#999
KEC,2009,333688,#999
KEC(M),1996,382319,#999
KEC(M),1998,356168,#999
KEC(M),1999,357402,#999
KEC(M),2004,209880,#999
KEC(M),2009,404962,#999
KGP,1989,19593,#999
KJD,1951,32987,#999
KJSP,1951,6390,#999
KKJHS,2004,3393,#999
KKJHS,2009,70715,#999
KKP,1951,132574,#999
KLP,1951,1489615,#999
KM,2009,65151,#999
KMM,1951,8808,#999
KMM,1998,2723,#999
KMM,2004,597,#999
KMP,1971,31729,#999
KMPP,1951,6135978,#999
KMS,1991,2311,#999
KNA,1951,12155,#999
KNA,1989,108085,#999
KNDP,2004,349183,#999
KNMK,2009,579703,#999
KNP,1991,576,#999
KOKD,2009,42744,#999
KP,1996,2883,#999
KRD,1996,112,#999
KRD,1998,501,#999
KRD,1999,344,#999
KRRS,1998,10064,#999
KRS,1989,495565,#999
KRS,1991,490275,#999
KS,2009,53033,#999
KSM,1996,113975,#999
KSP,1951,102098,#999
KSP,1989,2263,#999
KSVP,2004,6948,#999
KSVP,2009,4035,#999
KTMK,2009,1686,#999
KTVP,1998,371346,#999
KVMP,1996,1056,#999
KVP,1998,5905,#999
KVSB,1999,1481,#999
KVSP,2004,25258,#999
KVSP,2009,10447,#999
Kalinga Sena,2014,21143,#999
Kalyankari Jantantrik Party,2014,4839,#999
Kamarajar Deseeya Congress,2014,1345,#999
Kannada Chalavali Vatal Paksha,2014,707,#999
Karunaadu Party,2014,33172,#999
Kerala Congress  (M),2014,424194,#999
Kisan Majdoor Berojgar Sangh,2014,7839,#999
Kosal Kranti Dal,2014,8448,#999
Krantikari Vikas Dal,2014,7541,#999
LAB(B),1991,434,#999
LAJM,1991,257,#999
LB,2009,9407,#999
LBP,2004,187787,#999
LBP,2009,118470,#999
LCP,2004,2776,#999
LD,1996,11957,#999
LD,2009,24588,#999
LHM,1991,532,#999
LHP,1996,37127,#999
LJNSP,2004,2771427,#999
LJP,2009,1891963,#999
LJSPI,1999,1227,#999
LJVM,2009,3658,#999
LKD,1984,14040064,#999
LKD,1985,46627,#999
LKD,1991,173884,#999
LKD,1992,2839,#999
LKD (B),1989,602110,#999
LKJP,2009,351,#999
LKP,1989,4731,#999
LKP,1991,2873,#999
LKSGM,2009,53637,#999
LKSP,2009,11893,#999
LM,2009,5087,#999
LMD,1989,1035,#999
LMS,1989,703,#999
LP,1996,8758,#999
LP(S),2004,63989,#999
LPI,1989,99,#999
LPI(P),1991,684,#999
LPI(V),1996,68,#999
LPI(V),2004,4977,#999
LPSP,2004,9913,#999
LPSP,2009,29459,#999
LRP,1971,34070,#999
LRP,2004,54097,#999
LS,1998,2548725,#999
LS,1999,40997,#999
LSD,2004,2646,#999
LSP,2009,557376,#999
LSS,1951,309940,#999
LSS,1962,281755,#999
LSS,1971,62527,#999
LSVP,2009,2507,#999
LSWP,1998,43770,#999
LSWP,1999,23630,#999
LSWP,2004,22811,#999
LSWP,2009,40803,#999
LTP,1989,1272,#999
LTP,1991,408,#999
LTSD,2009,270040,#999
LVKP,2009,9198,#999
Labour Party of India (V.V. Prasad),2014,1993,#999
Lok Bharati,2014,13399,#999
Lok Dal,2014,48198,#999
Lok Jan Shakti Party,2014,2295929,#999
Lok Parivartan Party(DC),2014,4396,#999
Lok Satta Party,2014,169648,#999
Lok Shakti,2014,3722,#999
Lokpriya Samaj Party,2014,13304,#999
Loktantrik Janata Party (Secular),2014,10026,#999
Loktantrik Rashrtavadi Party,2014,1491,#999
Loktantrik Samajwadi Party,2014,2820,#999
M-COR,1989,247013,#999
M-COR,1991,171767,#999
MADMK,1998,278324,#999
MADMK,1999,396216,#999
MADP,2009,20534,#999
MAG,1971,54597,#999
MAG,1977,118748,#999
MAG,1980,127188,#999
MAG,1984,83122,#999
MAG,1989,116392,#999
MAG,1991,64752,#999
MAG,1996,129220,#999
MAG,1998,70191,#999
MAG,2004,7584,#999
MAG,2009,6638,#999
MAMAK,2009,68346,#999
MANP,2009,39257,#999
MAP,2009,1816,#999
MB,1996,295,#999
MB(S)P,2004,1675,#999
MB(S)P,2009,910,#999
MBP,2009,1006,#999
MBT,1996,78335,#999
MBT,1999,13461,#999
MBT,2004,47560,#999
MC,2004,5113,#999
MC,2009,2765,#999
MCO,1996,114406,#999
MCO,1998,263901,#999
MCO,1999,351839,#999
MCO,2004,147470,#999
MCO,2009,91489,#999
MCPI,1989,100300,#999
MCPI,1991,43085,#999
MCPI(S),1996,33900,#999
MCPI(S),1998,24417,#999
MCPI(S),1999,120220,#999
MCPI(S),2004,38766,#999
MCPI(S),2009,15922,#999
MD,2009,65398,#999
MDF,1999,8444,#999
MDL,1991,573,#999
MDMK,1996,1235812,#999
MDMK,1998,1602504,#999
MDMK,1999,1620527,#999
MDMK,2004,1679870,#999
MDMK,2009,1112908,#999
MDP,2009,8946,#999
MELPHC,1996,3155,#999
MGMK,1991,228,#999
MHA,1991,1692,#999
MIM,1989,617376,#999
MIM,1991,456900,#999
MJM,2004,552,#999
MJP,2009,245174,#999
MKD,2009,1106,#999
MKSD,1999,1517,#999
MKUP,2009,1341,#999
MKVP,1996,11152,#999
ML,1951,79470,#999
ML,1962,417761,#999
MLO,1977,318979,#999
MLP,1971,41198,#999
MMKA,2009,16699,#999
MMM,2009,8839,#999
MMS,1996,572,#999
MMUP,2009,4444,#999
MNF,1989,70749,#999
MNF,1991,82019,#999
MNF,1996,111710,#999
MNF,1998,82047,#999
MNF,2004,182864,#999
MNS,2009,1503863,#999
MNVP,2004,14233,#999
MOP,2009,2285,#999
MP,1998,2903,#999
MPC,1989,677,#999
MPKP,1996,5765,#999
MPKP,1999,3571,#999
MPP,1989,694,#999
MPP,1991,225,#999
MPP,1996,64266,#999
MPP,1998,115785,#999
MPP,1999,145192,#999
MPP,2004,77055,#999
MPP,2009,101787,#999
MPVC,1996,337539,#999
MRC,1998,8623,#999
MRC,1999,3579,#999
MRP,1971,31029,#999
MRP,1977,109130,#999
MRP,1980,49277,#999
MRP,1984,149019,#999
MRP,1989,147128,#999
MRP,1991,169692,#999
MRRC,2004,1399,#999
MRS,2004,3345,#999
MSCP,1998,190358,#999
MSCP,1999,222417,#999
MSD,1991,28528,#999
MSP,1996,74,#999
MSP,1998,1036,#999
MSS,1996,841,#999
MUB,1991,1191,#999
MUL,1967,413868,#999
MUL,1971,416545,#999
MUL,1977,565007,#999
MUL,1980,475507,#999
MUL,1984,658821,#999
MUL,1989,974234,#999
MUL,1991,845418,#999
MUL,1996,757316,#999
MUL,1998,800765,#999
MUL,1999,833562,#999
MUL,2004,770098,#999
MUL,2009,877494,#999
MUM,1971,36526,#999
MUM,1980,26363,#999
MUM,1989,25839,#999
Mahajana Socialist Party,2014,22023,#999
Mahamukti Dal,2014,2482,#999
Mahan Dal,2014,22774,#999
Mahanwadi Party,2014,2101,#999
Maharashtra Navnirman sena,2014,708118,#999
Maharashtra Parivartan Sena (T),2014,13339,#999
Maharashtra Vikas Aghadi,2014,2979,#999
Mahila Swabhiman Party,2014,2425,#999
Majdoor Kisan Union Party,2014,362,#999
Majlis Bachao Tahreek,2014,11347,#999
Majlis Markaz-e-Siyasee Party,2014,959,#999
Makkal Manadu Katchi,2014,8468,#999
Manav Mukti Morcha,2014,4409,#999
Manavadhikar Janshakti Party,2014,997,#999
Manavtawadi Samaj Party,2014,17890,#999
Manipur Democratic Peoples's Front,2014,2005,#999
Manithaneya Makkal Katchi,2014,236679,#999
Marumalarchi Dravida Munnetra Kazhagam,2014,1417535,#999
Marxist Co-Ordination,2014,110185,#999
Marxist Communist Party of India (United),2014,13028,#999
Megh Desham Party,2014,10490,#999
Minorities Democratic Party,2014,11225,#999
Moderate Party,2014,5406,#999
Moolniwasi Samaj Party,2014,4986,#999
Most Backward Classes Of India,2014,19417,#999
Moulik Adhikar Party,2014,15742,#999
NAGP,1991,494628,#999
NAT,1951,3232,#999
NBNP,2004,7169,#999
NBNP,2009,37219,#999
NBP,1991,787,#999
NCO,1971,15285851,#999
NCO,1977,3252217,#999
NCP,1999,8260311,#999
NCP,2004,7023175,#999
NCP,2009,8521502,#999
NCY,1999,179,#999
NDEP,2009,2787,#999
NDPF,1996,4462,#999
NDPF,2009,1557,#999
NELU,2009,27388,#999
NIP,1996,19135,#999
NJP,1962,195812,#999
NLHP,2009,72620,#999
NLP,1998,147706,#999
NLP,1999,136385,#999
NLP,2004,367049,#999
NLP,2009,5371,#999
NMK,2009,1114,#999
NMNP,2004,1030,#999
NMP,1999,19344,#999
NND,1984,113919,#999
NNO,1967,0,#999
NNO,1971,58511,#999
NOC,1999,1566,#999
NP,1991,1768,#999
NPAP,1998,24638,#999
NPC,1989,239124,#999
NPC,1991,328015,#999
NPF,2004,715366,#999
NPF,2009,832224,#999
NPP,1991,1572,#999
NPP,1998,1066,#999
NRP,1989,839,#999
NRP,1996,5271,#999
NRP,1998,694,#999
NSCP,2009,902,#999
NSP,2004,3069,#999
NSSP,2004,730,#999
NSSP,2009,573,#999
NSTP,2004,4649,#999
NTRTDP(LP),1996,3249267,#999
NTRTDP(LP),1998,384211,#999
NTRTDP(LP),1999,61635,#999
NTRTDP(LP),2004,759,#999
NVAS,1996,66065,#999
NYP,2009,2275,#999
Naga Peoples Front,2014,994505,#999
Nagrik Ekta Party,2014,2917,#999
Naitik Party,2014,36181,#999
Namadhu Makkal Katchi,2014,2511,#999
Narayani Sena,2014,1725,#999
National Development Party,2014,3618,#999
National Janhit Congress (AB),2014,2196,#999
National Lokmat Party,2014,3072,#999
National Loktantrik Party,2014,11174,#999
National Organisation Congress,2014,1202,#999
National Party,2014,791,#999
National Peoples Party,2014,576444,#999
National Tiger Party,2014,3251,#999
National Unionist Zamindara Party,2014,124990,#999
National Youth Party,2014,1176,#999
Nationalist Congress Party,2014,8635554,#999
Nav Bharat Democratic Party,2014,16153,#999
Nava Bharat National Party,2014,485,#999
Navbharat Nirman Party,2014,441,#999
Navodyam Party,2014,1455,#999
Naya Daur Party,2014,15965,#999
Nehru Janhit Congress,2014,1463,#999
New All India Congress Party,2014,3778,#999
New India Party,2014,5082,#999
Nirjatita Samaj Biplabi Party,2014,3829,#999
None of the Above,2014,6000197,#999
OCG,1998,4048,#999
OMM,2009,2591,#999
OPF,1989,2682,#999
OVP,1991,15893,#999
Odisha Jan Morcha,2014,44397,#999
PBHP,2009,4810,#999
PBI,1971,43849,#999
PBI,1989,23331,#999
PBI,1991,22734,#999
PBLP,2004,1690,#999
PBRML,1996,8624,#999
PBRML,2004,10446,#999
PDA,2009,224719,#999
PDF,1951,1367404,#999
PDF,1957,1044032,#999
PDF,1999,172434,#999
PDF,2009,3502,#999
PDFO,2009,20699,#999
PDI,1989,1392,#999
PDL,1989,918,#999
PDL,1991,2213,#999
PDLI,1996,1276,#999
PDM,1999,33164,#999
PDP,1996,65641,#999
PDP,1998,92083,#999
PDP,2004,45720,#999
PDS,2004,81999,#999
PDS,2009,6141,#999
PECP,2009,537638,#999
PFR,1967,42725,#999
PG,2009,30340,#999
PHJ,1971,66669,#999
PHJ,1977,27116,#999
PHJ,1989,2890,#999
PHK,1996,34147,#999
PHSP,2004,5672,#999
PKD,1989,493,#999
PKMK,2009,981,#999
PLP,2009,1243,#999
PMK,1989,1561371,#999
PMK,1991,1283065,#999
PMK,1996,571910,#999
PMK,1998,1548976,#999
PMK,1999,2377741,#999
PMK,2004,2169020,#999
PMK,2009,1944619,#999
PMM,1991,2259,#999
PMP,2004,126,#999
PMSP,1996,9974,#999
PMSP,1998,5495,#999
PMSP,1999,36920,#999
PMSP,2004,54746,#999
PMSP,2009,57649,#999
PNF,1989,314,#999
PNK,2009,15074,#999
PP,1951,16955,#999
PP,1957,140742,#999
PP,2004,485,#999
PPA,1980,69810,#999
PPA,1984,78455,#999
PPA,1989,96181,#999
PPA,2009,5996,#999
PPC,1980,53891,#999
PPI,1989,478,#999
PPIS,2009,578,#999
PPNMS,1996,6667,#999
PPOI,1999,31699,#999
PPOI,2004,130362,#999
PPOI,2009,287576,#999
PPP,1989,1374,#999
PPVP,1998,576,#999
PRAP,2009,6590046,#999
PRBD,2009,7497,#999
PRBP,2004,261219,#999
PRBP,2009,11341,#999
PRC,1991,605,#999
PRC,1996,124,#999
PRCP,2004,29792,#999
PRCP,2009,76518,#999
PRISM,1998,1595,#999
PRP,2004,2165,#999
PRPI,2009,5819,#999
PRSP,2009,17570,#999
PSJP,1999,12820,#999
PSJP,2004,12273,#999
PSP,1957,12542666,#999
PSP,1962,7848345,#999
PSP,1967,4456487,#999
PSP,1971,1526076,#999
PSP,1996,407,#999
PSP,1998,1828,#999
PSP,1999,858,#999
PSS,1996,1049,#999
PSSS,1996,26403,#999
PSSS,1998,23029,#999
PT,1998,446583,#999
PT,1999,568196,#999
PT,2009,120797,#999
PTC,1985,310150,#999
PTCA,1991,87387,#999
PTCA,1998,12952,#999
PTSS,2004,11561,#999
PTSS,2009,6316,#999
PURP,1951,10778,#999
PVP,1989,2055,#999
PVP,1991,6897,#999
PVP(P),1996,1185,#999
PWA,1989,1964,#999
PWP,1951,992187,#999
PWP,1957,924832,#999
PWP,1962,703582,#999
PWP,1967,1028755,#999
PWP,1971,741535,#999
PWP,1977,1030232,#999
PWP,1980,470567,#999
PWP,1984,463963,#999
PWP,1989,636589,#999
PWP,1991,295402,#999
PWPI,1996,437805,#999
PWPI,1998,269609,#999
PWPI,1999,282583,#999
PWPI,2004,319572,#999
Parcham Party of India,2014,4082,#999
Parivartan Samaj Party,2014,433,#999
Party for Democratic Socialism,2014,22267,#999
Paschimanchal Vikas Party,2014,28775,#999
Pattali Makkal Katchi,2014,1827566,#999
Peace Party,2014,518726,#999
Peasants And Workers Party of India,2014,497721,#999
People's Party of Arunachal,2014,47018,#999
People's Party of India(secular),2014,331,#999
Peoples Guardian,2014,7222,#999
Poorvanchal Rashtriya Congress,2014,4852,#999
Prabuddha Republican Party,2014,19470,#999
Pragatisheel Magahi Samaj,2014,3076,#999
Pragatisheel Manav Samaj Party,2014,39038,#999
Pragatisheel Samaj Party,2014,4052,#999
Prajatantra Aadhar Party,2014,698,#999
Prajatantrik Samadhan Party,2014,21284,#999
Prem Janata Dal,2014,28681,#999
Prism,2014,2694,#999
"Proutist Bloc, India",2014,6509,#999
Proutist Sarva Samaj,2014,15368,#999
Punjab Labour Party,2014,1386,#999
Puthiya Tamilagam,2014,262812,#999
Pyramid Party of India,2014,185449,#999
Qaumi Ekta Dal,2014,354578,#999
RAD,2009,4072,#999
RAJUP,2009,2005,#999
RALOP,2009,2021,#999
RALP,2009,5460,#999
RAM,1996,4574,#999
RAM,1998,4596,#999
RAM,1999,1169,#999
RAS,1998,4371,#999
RASAP,2009,2754,#999
RASD,2009,22453,#999
RASHTRIYA MORCHA PARTY,2014,927,#999
RASHTRIYA VIKLANG PARTY,2014,2958,#999
RASJP,2009,5841,#999
RBCP,2009,2244,#999
RBD,2009,3138,#999
RBNNS,1996,528,#999
RCI,1971,65622,#999
RCI,1977,45047,#999
RCP,1962,60813,#999
RCP,2004,28757,#999
RCP,2009,25842,#999
RCPI,1951,67275,#999
RCPI(R),1996,1803,#999
RCPI(R),1998,4420,#999
RCPI(R),1999,1516,#999
RCPI(R),2004,16691,#999
RCPI(R),2009,7788,#999
RDHP,2009,9005,#999
RDMP,2009,139404,#999
RDNBP,1999,384,#999
RDSD,2009,484,#999
REP,1951,44286,#999
REP,1962,3255985,#999
RGD,2004,1977,#999
RGOP,2009,1802,#999
RHD,2004,12346,#999
RIS,1989,12858,#999
RJAP,2004,487,#999
RJAP,2009,1394,#999
RJC,1998,297,#999
RJD,1998,10229971,#999
RJD,1999,10150492,#999
RJD,2004,9384147,#999
RJD,2009,5280084,#999
RJDP,1998,1708,#999
RJJM,2009,13194,#999
RJPK,2009,12732,#999
RJSD,2009,2202,#999
RJVP,1998,11267,#999
RJVP,1999,6258,#999
RJVP,2004,10032,#999
RJVP,2009,36584,#999
RKD,1991,1125,#999
RKD,1996,520,#999
RKJP,2009,15847,#999
RKP,1996,3635,#999
RKSP,2004,9145,#999
RKSP,2009,71857,#999
RLD,1999,1364030,#999
RLD,2004,2463607,#999
RLD,2009,1821054,#999
RLP,2009,1866,#999
RLSM,2004,2476,#999
RMEP,1996,3176,#999
RMEP,1998,946,#999
RMEP,1999,437,#999
RMEP,2009,4588,#999
RMGLMP,2009,1780,#999
RMMP,1998,710,#999
RMSP,2009,7290,#999
RND,2009,3155,#999
RNP,1996,13160,#999
RNSP,2009,2041,#999
RP(K),2009,11724,#999
RPA,1971,22428,#999
RPC(S),2009,3980,#999
RPD,2004,139145,#999
RPG,1971,153794,#999
RPI,1967,3607711,#999
RPI,1977,155972,#999
RPI,1980,351987,#999
RPI,1984,22877,#999
RPI,1989,129300,#999
RPI,1991,36541,#999
RPI,1996,1454363,#999
RPI,1998,1351019,#999
RPI,1999,505664,#999
RPI,2004,295545,#999
RPI,2009,294650,#999
RPI(A),1991,521,#999
RPI(A),1996,22640,#999
RPI(A),1999,14098,#999
RPI(A),2004,367510,#999
RPI(A),2009,379746,#999
RPI(D),1996,10072,#999
RPI(D),2004,2370,#999
RPI(D),2009,5809,#999
RPI(GG),1989,539,#999
RPI(KH),1996,8491,#999
RPI(KH),1998,2167,#999
RPI(KH),2004,4790,#999
RPI(KH),2009,5566,#999
RPI(KM),1991,1300,#999
RPI(S),1996,2081,#999
RPIE,2009,12767,#999
RPK,1971,542662,#999
RPK,1977,956072,#999
RPK,1980,383022,#999
RPK,1984,165320,#999
RPK,1989,468615,#999
RPK,1991,91557,#999
RPP,1951,57815,#999
RPP,1989,2791,#999
RPP,1998,3688,#999
RPP,2009,29151,#999
RPPI,1991,4967,#999
RPPI,1996,7298,#999
RPPI,1998,1215,#999
RPPI,2009,3894,#999
RRCD,1998,343,#999
RRD,2009,7915,#999
RRP,1951,2091898,#999
RRP,1957,460838,#999
RRP,1962,688990,#999
RRP,1971,24093,#999
RRP,1977,26169,#999
RRP,1980,61161,#999
RRP,1989,2998,#999
RRP(S),1991,2519,#999
RRS,2009,1284,#999
RSBP,2004,58296,#999
RSBP,2009,152633,#999
RSD,1991,8825,#999
RSD,1999,1407,#999
RSD,2004,7374,#999
RSDP,1996,3360,#999
RSGP,2004,2043,#999
RSKP,2004,379,#999
RSM,1971,6198,#999
RSMD,2004,209694,#999
RSMD,2009,153455,#999
RSNP,2004,27594,#999
RSP,1951,468108,#999
RSP,1957,308742,#999
RSP,1962,451717,#999
RSP,1971,724001,#999
RSP,1977,851164,#999
RSP,1980,1285517,#999
RSP,1984,1173869,#999
RSP,1989,1854276,#999
RSP,1991,1749730,#999
RSP,1996,2105469,#999
RSP,1998,2032585,#999
RSP,1999,1500817,#999
RSP,2004,1689794,#999
RSP,2009,1573650,#999
RSP(S),2009,2305,#999
RSP(UP),1951,20665,#999
RSPP,1996,8779,#999
RSPS,2004,146571,#999
RSPS,2009,215042,#999
RSRP,1996,6000,#999
RSSD,1996,348,#999
RSUPRP,2009,1532,#999
RSWD,2009,43184,#999
RTKP,2009,55805,#999
RUD,1991,316,#999
RUD,1996,3476,#999
RUD,1998,1394,#999
RUD,1999,4104,#999
RVNP,2004,3737,#999
RVNP,2009,34670,#999
RVP,2004,15159,#999
RVP,2009,584,#999
RWS,2009,144735,#999
RWSP,2009,450,#999
RYS,2009,482,#999
Rajasthan Vikas Party,2014,8152,#999
Rajnaitik Vikalp Party,2014,38992,#999
Rajyadhikara Party,2014,4112,#999
Rani Chennamma Party,2014,2803,#999
Rashtra Sewa Dal,2014,6994,#999
Rashtravadi Janata Party,2014,8713,#999
"Rashtrawadi Parivartan Party (L.B,)",2014,1195,#999
Rashtrawadi Samaj Party,2014,2181,#999
Rashtriya Aam Party,2014,3408,#999
Rashtriya Ahinsa Manch,2014,13185,#999
Rashtriya Ambedkar Dal,2014,4327,#999
Rashtriya Apna Dal,2014,12366,#999
Rashtriya Bahujan Congress Party,2014,5799,#999
Rashtriya Bahujan Hitay Party,2014,1842,#999
Rashtriya Bandhutwa Party,2014,1521,#999
Rashtriya Congress (Babu Jagjivanram),2014,4527,#999
Rashtriya Congress(J) Party,2014,7650,#999
Rashtriya Deshaj Party,2014,38322,#999
Rashtriya Ekta Party,2014,601,#999
Rashtriya Garib Dal,2014,1111,#999
Rashtriya Gondvana Party,2014,10142,#999
Rashtriya Indepndent Morcha,2014,16299,#999
Rashtriya Jan-Jagram Morcha,2014,7147,#999
Rashtriya Janadhikar Party,2014,415,#999
Rashtriya Janadhikar Suraksha Party,2014,32514,#999
Rashtriya Janasachetan Party (R.J.P.),2014,18206,#999
Rashtriya Janata Dal,2014,7442313,#999
Rashtriya Jankranti Morcha,2014,4647,#999
Rashtriya Jankranti Party,2014,217,#999
Rashtriya Janmorcha,2014,1145,#999
Rashtriya Janpriya Party,2014,4117,#999
Rashtriya Janshakti Party(Eklavya),2014,2654,#999
Rashtriya Janshanti Party,2014,1571,#999
Rashtriya Janta Party,2014,1526,#999
Rashtriya Janwadi Party (Krantikari),2014,10797,#999
Rashtriya Jatigat Aarakshan Virodhi Party,2014,259,#999
Rashtriya Karmyog Party,2014,2096,#999
Rashtriya Komi Ekta Party,2014,1254,#999
Rashtriya Kranti Party,2014,4112,#999
