constituency,S,District,Group,candidate,party,Alliance,votes,rank,name,location,slr
Kolathur,N,Chennai,2,Prabhakar.J.C.T,ADMK,ADMK+,26135,5,Prabhakar.J.C.T,,
Kolathur,N,Chennai,2,Stalin.M.K,DMK,DMK+,20173,6,Stalin.M.K,,
Villivakkam,N,Chennai,2,Jai Shankar.M,BJP,BJP+,31142,1,Jai Shankar.M,,
Villivakkam,N,Chennai,2,Subramanian.G.V,PMK,PMK+,29819,2,Subramanian.G.V,,
Villivakkam,N,Chennai,2,Pandiyan,DMDK,PWF+,4152,3,Pandiyan,,
Villivakkam,N,Chennai,2,Thadi.M.Rasu,ADMK,ADMK+,2853,4,Thadi.M.Rasu,,
Egmore,S,Chennai,2,Ravichandran,DMK,DMK+,44092,1,Ravichandran,,
Egmore,S,Chennai,2,Prabu,DMDK,PWF+,26511,2,Prabu,,
Egmore,S,Chennai,2,Venkatesan.M,BJP,BJP+,15964,3,Venkatesan.M,,
Egmore,S,Chennai,2,Parithi Ilam Vazhuthi,ADMK,ADMK+,6808,4,Parithi Ilam Vazhuthi,,
Egmore,S,Chennai,2,Jaya Lakshmi,NTK,NTK+,5853,5,Jaya Lakshmi,,
Egmore,S,Chennai,2,Rajendran.,PMK,PMK+,4622,6,Rajendran.,,
Royapuram,N,Chennai,2,Dr.Jameela,BJP,BJP+,65989,1,Dr.Jameela,,
Royapuram,N,Chennai,2,Manohar,INC,DMK+,43269,2,Manohar,,
Royapuram,N,Chennai,2,Jaya Kumar.D,ADMK,ADMK+,36040,3,Jaya Kumar.D,,
Royapuram,N,Chennai,2,Perumal.T.S,PMK,PMK+,34685,4,Perumal.T.S,,
Royapuram,N,Chennai,2,Aanand Raj.P,NTK,NTK+,32772,5,Aanand Raj.P,,
Royapuram,N,Chennai,2,Biju Jakko,TMC,PWF+,24845,6,Biju Jakko,,
Harbour,N,Chennai,2,Anwar,NTK,NTK+,66927,1,Anwar,,
Harbour,N,Chennai,2,Murath Bhuhari,MDMK,PWF+,53335,2,Murath Bhuhari,,
Harbour,N,Chennai,2,Seenivasan.K.S,ADMK,ADMK+,34253,3,Seenivasan.K.S,,
Harbour,N,Chennai,2,Krishna Kumar Nathani,BJP,BJP+,9013,4,Krishna Kumar Nathani,,
Harbour,N,Chennai,2,Suresh Kumar.R,PMK,PMK+,3758,5,Suresh Kumar.R,,
Harbour,N,Chennai,2,Sekar Babu,DMK,DMK+,3515,6,Sekar Babu,,
Thousand Lights,N,Chennai,2,Selvam,DMK,DMK+,57013,1,Selvam,,
Thousand Lights,N,Chennai,2,Murugeshan,NTK,NTK+,46453,2,Murugeshan,,
Thousand Lights,N,Chennai,2,Ambikapathy,MDMK,PWF+,44920,3,Ambikapathy,,
Thousand Lights,N,Chennai,2,Valar Mathi.B,ADMK,ADMK+,29767,4,Valar Mathi.B,,
Anna Nagar,N,Chennai,2,Mohan,DMK,DMK+,62422,1,Mohan,,
Anna Nagar,N,Chennai,2,Gokula Indhra.S,ADMK,ADMK+,60780,2,Gokula Indhra.S,,
Anna Nagar,N,Chennai,2,Amutha Nambi,NTK,NTK+,25749,3,Amutha Nambi,,
Anna Nagar,N,Chennai,2,Malaika Thayazhan,MDMK,PWF+,23846,4,Malaika Thayazhan,,
Anna Nagar,N,Chennai,2,Suresh Karuna,BJP,BJP+,9030,5,Suresh Karuna,,
Anna Nagar,N,Chennai,2,Akilesh Arali Malli Chetty,PMK,PMK+,590,6,Akilesh Arali Malli Chetty,,
T-Nagar,N,Chennai,2,Ponnaiyan.C,ADMK,ADMK+,52030,1,Ponnaiyan.C,,
T-Nagar,N,Chennai,2,Kali Das,BJP,BJP+,28162,2,Kali Das,,
T-Nagar,N,Chennai,2,Elumalai.S,CPM,PWF+,26840,3,Elumalai.S,,
T-Nagar,N,Chennai,2,Manoharan,NTK,NTK+,23670,4,Manoharan,,
T-Nagar,N,Chennai,2,Subramanaian.M,DMK,DMK+,18005,5,Subramanaian.M,,
Saidapet,N,Chennai,2,Kani Mozhi.S.N,DMK,DMK+,55358,1,Kani Mozhi.S.N,,
Saidapet,N,Chennai,2,Raja.H,BJP,BJP+,45129,2,Raja.H,,
Saidapet,N,Chennai,2,Vinod.V,PMK,PMK+,43777,3,Vinod.V,,
Saidapet,N,Chennai,2,Padmanabhan.K,NTK,NTK+,23617,4,Padmanabhan.K,,
Saidapet,N,Chennai,2,Kumar,DMDK,PWF+,10302,5,Kumar,,
Saidapet,N,Chennai,2,Sathya Narayanan,ADMK,ADMK+,3098,6,Sathya Narayanan,,
Mylapore,N,Chennai,2,Munavar Batcha.A.S,TMC,PWF+,69260,1,Munavar Batcha.A.S,,
Mylapore,N,Chennai,2,Nataraj.R,ADMK,ADMK+,62642,2,Nataraj.R,,
Mylapore,N,Chennai,2,Suresh Kumar,PMK,PMK+,26880,3,Suresh Kumar,,
Mylapore,N,Chennai,2,Ramji,NTK,NTK+,23585,4,Ramji,,
Thiru-Vi-Ka-Nagar,S,Chennai,2,Gowri,NTK,NTK+,31311,1,Gowri,,
Thiru-Vi-Ka-Nagar,S,Chennai,2,Sivakumar,DMK,DMK+,26041,2,Sivakumar,,
Thiru-Vi-Ka-Nagar,S,Chennai,2,Chandra Sekar,IJK,BJP+,6520,3,Chandra Sekar,,
Thiru-Vi-Ka-Nagar,S,Chennai,2,Vanitha Mani.T,PMK,PMK+,5726,4,Vanitha Mani.T,,
Virugampakkam,N,Chennai,2,Dhanasekaran,DMK,DMK+,63507,1,Dhanasekaran,,
Virugampakkam,N,Chennai,2,Dr.Tamilisai Soundara Rajan,BJP,BJP+,62841,2,Dr.Tamilisai Soundara Rajan,,
Virugampakkam,N,Chennai,2,Rajendran.S,NTK,NTK+,62649,3,Rajendran.S,,
Virugampakkam,N,Chennai,2,Jaya Rao.C.H,PMK,PMK+,41783,4,Jaya Rao.C.H,,
Virugampakkam,N,Chennai,2,Partha Sarathy,DMDK,PWF+,32795,5,Partha Sarathy,,
Chepauk,N,Chennai,2,Siva Kumar.P,NTK,NTK+,51340,1,Siva Kumar.P,,
Chepauk,N,Chennai,2,Abdulla Set,DMDK,PWF+,46903,2,Abdulla Set,,
Chepauk,N,Chennai,2,Kazali.A.V.AThiruvallikeni,PMK,PMK+,43258,3,Kazali.A.V.AThiruvallikeni,,
Velachery,N,Chennai,2,Vinobhava Bhoopathi.N,PMK,PMK+,60575,1,Vinobhava Bhoopathi.N,,
Velachery,N,Chennai,2,Raja,DMDK,PWF+,58347,2,Raja,,
Velachery,N,Chennai,2,Chandra Sekaran,NTK,NTK+,51917,3,Chandra Sekaran,,
Velachery,N,Chennai,2,Dolphin Sridhar,BJP,BJP+,21803,4,Dolphin Sridhar,,
Palani,N,Dindigul,4,Kumara Swamy.P,ADMK,ADMK+,45032,1,Kumara Swamy.P,,
Palani,N,Dindigul,4,Raja Manikkam,CPI,PWF+,44825,2,Raja Manikkam,,
Palani,N,Dindigul,4,Senthil Kumar,DMK,DMK+,21418,3,Senthil Kumar,,
Palani,N,Dindigul,4,Vinod,NTK,NTK+,2951,4,Vinod,,
Oddamchatram,N,Dindigul,4,Kitu Swamy,ADMK,ADMK+,67990,1,Kitu Swamy,,
Oddamchatram,N,Dindigul,4,Palani Swamy.S.K,BJP,BJP+,55081,2,Palani Swamy.S.K,,
Oddamchatram,N,Dindigul,4,Selva Kumar,NTK,NTK+,48598,3,Selva Kumar,,
Oddamchatram,N,Dindigul,4,Sakkara Bhani,DMK,DMK+,47998,4,Sakkara Bhani,,
Oddamchatram,N,Dindigul,4,Santhanam.K,CPM,PWF+,34175,5,Santhanam.K,,
Athoor,N,Dindigul,4,Natham R.Vishwanathan,ADMK,ADMK+,52202,1,Natham R.Vishwanathan,,
Athoor,N,Dindigul,4,Mariya Guna Sekaran,NTK,NTK+,34230,2,Mariya Guna Sekaran,,
Athoor,N,Dindigul,4,Elanchezhian.S.P,BJP,BJP+,25823,3,Elanchezhian.S.P,,
Athoor,N,Dindigul,4,Periya Swamy.I,DMK,DMK+,15689,4,Periya Swamy.I,,
Athoor,N,Dindigul,4,Bakya Selvaraj.M,DMDK,PWF+,11243,5,Bakya Selvaraj.M,,
Athoor,N,Dindigul,4,Nirmala @ Gnana Soundari,PMK,PMK+,3293,6,Nirmala @ Gnana Soundari,,
Natham,N,Dindigul,4,Siva Shankaran,NTK,NTK+,32673,1,Siva Shankaran,,
Natham,N,Dindigul,4,Andi Ambalam,DMK,DMK+,28076,2,Andi Ambalam,,
Natham,N,Dindigul,4,Shanthana Krishnan,IJK,BJP+,23623,3,Shanthana Krishnan,,
Natham,N,Dindigul,4,Karthikeyan,DMDK,PWF+,19453,4,Karthikeyan,,
Natham,N,Dindigul,4,Shajahan.S,ADMK,ADMK+,7549,5,Shajahan.S,,
Dindigul,N,Dindigul,4,Bazeer Mohmed,DMK,DMK+,68014,1,Bazeer Mohmed,,
Dindigul,N,Dindigul,4,Parasuraman.R,PMK,PMK+,66559,2,Parasuraman.R,,
Dindigul,N,Dindigul,4,Thirumalai Balaji,BJP,BJP+,61352,3,Thirumalai Balaji,,
Dindigul,N,Dindigul,4,Pandi.N,CPI,PWF+,55024,4,Pandi.N,,
Dindigul,N,Dindigul,4,Dindigul C.Seenivasan,ADMK,ADMK+,23273,5,Dindigul C.Seenivasan,,
Vedasandur,N,Dindigul,4,Shiva Ranjani,IJK,BJP+,48246,1,Shiva Ranjani,,
Vedasandur,N,Dindigul,4,Sivasakthi Gownder,INC,DMK+,46453,2,Sivasakthi Gownder,,
Vedasandur,N,Dindigul,4,Dr.Paramashivam.V.P.B,ADMK,ADMK+,39026,3,Dr.Paramashivam.V.P.B,,
Vedasandur,N,Dindigul,4,Palani Swamy.K.C,PMK,PMK+,24782,4,Palani Swamy.K.C,,
Vedasandur,N,Dindigul,4,Balu,DMDK,PWF+,12250,5,Balu,,
Vedasandur,N,Dindigul,4,Vetri,NTK,NTK+,5130,6,Vetri,,
Melur,N,Madurai,4,Seeman,NTK,NTK+,63282,1,Seeman,,
Melur,N,Madurai,4,Abdhul Salam.A.K,PMK,PMK+,54321,2,Abdhul Salam.A.K,,
Melur,N,Madurai,4,Boopathi Kakan.P.V,BJP,BJP+,46723,3,Boopathi Kakan.P.V,,
Melur,N,Madurai,4,Periya Pullan Alias Selvam.P,ADMK,ADMK+,14403,4,Periya Pullan Alias Selvam.P,,
Melur,N,Madurai,4,Raghupathi,DMK,DMK+,13748,5,Raghupathi,,
Melur,N,Madurai,4,Bharath Nachiappan.T.N,TMC,PWF+,2261,6,Bharath Nachiappan.T.N,,
Madurai East,N,Madurai,4,Moorthy,DMK,DMK+,48664,1,Moorthy,,
Madurai East,N,Madurai,4,Senkannan,NTK,NTK+,24680,2,Senkannan,,
Madurai East,N,Madurai,4,Thakkar P.Pandi,ADMK,ADMK+,15424,3,Thakkar P.Pandi,,
Madurai East,N,Madurai,4,Kali Das.P,CPM,PWF+,14821,4,Kali Das.P,,
Madurai East,N,Madurai,4,Alaghu Raja.R,PMK,PMK+,8853,5,Alaghu Raja.R,,
Madurai East,N,Madurai,4,Susheendran.M.,BJP,BJP+,5296,6,Susheendran.M.,,
Sholavandan,S,Madurai,4,Palani Vel Swamy.S.,BJP,BJP+,55469,1,Palani Vel Swamy.S.,,
Sholavandan,S,Madurai,4,Pandiyammal,VC,PWF+,50747,2,Pandiyammal,,
Sholavandan,S,Madurai,4,Manikkam.K,ADMK,ADMK+,50399,3,Manikkam.K,,
Sholavandan,S,Madurai,4,Muthaiah,PMK,PMK+,36766,4,Muthaiah,,
Sholavandan,S,Madurai,4,Bhavani.C,DMK,DMK+,35452,5,Bhavani.C,,
Sholavandan,S,Madurai,4,Sakthi,NTK,NTK+,1758,6,Sakthi,,
Madurai North,N,Madurai,4,Aananth,IJK,BJP+,39697,1,Aananth,,
Madurai North,N,Madurai,4,Asai Kumar.A.R,PMK,PMK+,38994,2,Asai Kumar.A.R,,
Madurai North,N,Madurai,4,Karthikeyan,INC,DMK+,38195,3,Karthikeyan,,
Madurai North,N,Madurai,4,Mujibur Rahman,DMDK,PWF+,31038,4,Mujibur Rahman,,
Madurai North,N,Madurai,4,Rajan Chellappa,ADMK,ADMK+,22205,5,Rajan Chellappa,,
Madurai North,N,Madurai,4,Saral,NTK,NTK+,8991,6,Saral,,
Madurai South,N,Madurai,4,Maha Lakshmi.AR,BJP,BJP+,67460,1,Maha Lakshmi.AR,,
Madurai South,N,Madurai,4,Puthur Boominathan,MDMK,PWF+,62831,2,Puthur Boominathan,,
Madurai South,N,Madurai,4,Bala Chandran,DMK,DMK+,47434,3,Bala Chandran,,
Madurai South,N,Madurai,4,Mari Chelvam.C,PMK,PMK+,39882,4,Mari Chelvam.C,,
Madurai South,N,Madurai,4,Vijaya Kumar,NTK,NTK+,31201,5,Vijaya Kumar,,
Madurai South,N,Madurai,4,Saravanan.S.S,ADMK,ADMK+,5183,6,Saravanan.S.S,,
Madurai Central,N,Madurai,4,Karthik Prabhu,BJP,BJP+,54643,1,Karthik Prabhu,,
Madurai Central,N,Madurai,4,Siva Muthu Kumar,DMDK,PWF+,37371,2,Siva Muthu Kumar,,
Madurai Central,N,Madurai,4,Jaya Paul.M,ADMK,ADMK+,32277,3,Jaya Paul.M,,
Madurai Central,N,Madurai,4,Vetri Kumaran,NTK,NTK+,20432,4,Vetri Kumaran,,
Madurai Central,N,Madurai,4,Selvam.P,PMK,PMK+,3973,5,Selvam.P,,
Madurai West,N,Madurai,4,Thiru Navukkarasu,NTK,NTK+,62644,1,Thiru Navukkarasu,,
Madurai West,N,Madurai,4,Thalapathy,DMK,DMK+,57133,2,Thalapathy,,
Madurai West,N,Madurai,4,Vasughi.O,CPI,PWF+,51440,3,Vasughi.O,,
Madurai West,N,Madurai,4,Krishna Kumar.P,PMK,PMK+,46964,4,Krishna Kumar.P,,
Madurai West,N,Madurai,4,Sellur K.Raju,ADMK,ADMK+,20363,5,Sellur K.Raju,,
Madurai West,N,Madurai,4,Sashi Kumar.A,BJP,BJP+,1349,6,Sashi Kumar.A,,
Thirupparankundram,N,Madurai,4,Seeni Velu.S.M,ADMK,ADMK+,54150,1,Seeni Velu.S.M,,
Thirupparankundram,N,Madurai,4,Maha Devan,NTK,NTK+,46853,2,Maha Devan,,
Thirupparankundram,N,Madurai,4,Mani Maran,DMK,DMK+,22260,3,Mani Maran,,
Thirupparankundram,N,Madurai,4,Kanthaswamy.K,CPM,PWF+,19470,4,Kanthaswamy.K,,
Thirumangalam,N,Madurai,4,Kannaiah.T,PMK,PMK+,56237,1,Kannaiah.T,,
Thirumangalam,N,Madurai,4,Udhaya Kumar.R.B,ADMK,ADMK+,48581,2,Udhaya Kumar.R.B,,
Thirumangalam,N,Madurai,4,Jaya Raman,INC,DMK+,43463,3,Jaya Raman,,
Thirumangalam,N,Madurai,4,Seenivasan,DMDK,PWF+,17891,4,Seenivasan,,
Thirumangalam,N,Madurai,4,Rama Moorthy.VR.,BJP,BJP+,11842,5,Rama Moorthy.VR.,,
Usilampatti,N,Madurai,4,Sangili.M,BJP,BJP+,48992,1,Sangili.M,,
Usilampatti,N,Madurai,4,Baskara Sethupathi,MDMK,PWF+,39489,2,Baskara Sethupathi,,
Usilampatti,N,Madurai,4,Neethi Pathi.P,ADMK,ADMK+,34625,3,Neethi Pathi.P,,
Usilampatti,N,Madurai,4,Ayunthu Kovilan,NTK,NTK+,31481,4,Ayunthu Kovilan,,
Usilampatti,N,Madurai,4,Ela Mahizhan,DMK,DMK+,2654,5,Ela Mahizhan,,
Periyakulam,S,Theni,4,Chellam.K,BJP,BJP+,67254,1,Chellam.K,,
Periyakulam,S,Theni,4,Prof Kathir Kamu,ADMK,ADMK+,46768,2,Prof Kathir Kamu,,
Periyakulam,S,Theni,4,Lasar.A,CPI,PWF+,37784,3,Lasar.A,,
Periyakulam,S,Theni,4,Pushpa Latha,NTK,NTK+,24573,4,Pushpa Latha,,
Bodinayakkanur,N,Theni,4,Ramakrishnan.A,PMK,PMK+,67727,1,Ramakrishnan.A,,
Bodinayakkanur,N,Theni,4,Veera Bhadran,DMDK,PWF+,48664,2,Veera Bhadran,,
Bodinayakkanur,N,Theni,4,Venkateshwaran.V.,BJP,BJP+,43984,3,Venkateshwaran.V.,,
Bodinayakkanur,N,Theni,4,Paneer Selvam.O.S,ADMK,ADMK+,13789,4,Paneer Selvam.O.S,,
Bodinayakkanur,N,Theni,4,Lakshmanan,DMK,DMK+,4367,5,Lakshmanan,,
Cumbum,N,Theni,4,Jakkaiyan.S.T.K,ADMK,ADMK+,53792,1,Jakkaiyan.S.T.K,,
Cumbum,N,Theni,4,Jaya Paul,NTK,NTK+,53525,2,Jaya Paul,,
Cumbum,N,Theni,4,Rama Chandran,TMC,PWF+,51824,3,Rama Chandran,,
Cumbum,N,Theni,4,Pon Katchi Kannan,PMK,PMK+,31206,4,Pon Katchi Kannan,,
Cumbum,N,Theni,4,Rama Krishnan,DMK,DMK+,30620,5,Rama Krishnan,,
Cumbum,N,Theni,4,Prabhaharan,BJP,BJP+,14128,6,Prabhaharan,,
Nilakkottai,S,Dindigul,4,Rama Moorthy.Na,PMK,PMK+,54370,1,Rama Moorthy.Na,,
Nilakkottai,S,Dindigul,4,Sangili,NTK,NTK+,47836,2,Sangili,,
Nilakkottai,S,Dindigul,4,Anbalaghan.M,DMK,DMK+,45705,3,Anbalaghan.M,,
Nilakkottai,S,Dindigul,4,Rama Swamy,DMDK,PWF+,37024,4,Rama Swamy,,
Nilakkottai,S,Dindigul,4,Alaghu Mani,BJP,BJP+,10789,5,Alaghu Mani,,
Andipatti,N,Theni,4,Mookaiya,DMK,DMK+,43165,1,Mookaiya,,
Andipatti,N,Theni,4,Thambi Aananthan,NTK,NTK+,25144,2,Thambi Aananthan,,
Andipatti,N,Theni,4,Ravi .K,PMK,PMK+,17756,3,Ravi .K,,
Andipatti,N,Theni,4,Krishna Moorthy,DMDK,PWF+,14838,4,Krishna Moorthy,,
Andipatti,N,Theni,4,Sakkaravarthy.S.R,BJP,BJP+,6588,5,Sakkaravarthy.S.R,,
Gingee,N,Villupuram,5,Masthan,DMK,DMK+,59544,1,Masthan,,
Gingee,N,Villupuram,5,Rajendran.M.S,BJP,BJP+,52877,2,Rajendran.M.S,,
Gingee,N,Villupuram,5,Govindha Swamy.A,ADMK,ADMK+,52671,3,Govindha Swamy.A,,
Gingee,N,Villupuram,5,Dhana Sekaran,NTK,NTK+,19585,4,Dhana Sekaran,,
Gingee,N,Villupuram,5,Mani,MDMK,PWF+,12650,5,Mani,,
Mailam,N,Villupuram,5,Masila Mani,DMK,DMK+,69215,1,Masila Mani,,
Mailam,N,Villupuram,5,Rama Devi,IJK,BJP+,59915,2,Rama Devi,,
Mailam,N,Villupuram,5,Anna Durai.K,ADMK,ADMK+,41528,3,Anna Durai.K,,
Mailam,N,Villupuram,5,Raja Sekaran.V.R,PMK,PMK+,37788,4,Raja Sekaran.V.R,,
Mailam,N,Villupuram,5,Balaji.S.S,VC,PWF+,13901,5,Balaji.S.S,,
Mailam,N,Villupuram,5,Vijaya Lakshmi,NTK,NTK+,9284,6,Vijaya Lakshmi,,
Tindivanam,S,Villupuram,5,Kalidas.A,PMK,PMK+,48205,1,Kalidas.A,,
Tindivanam,S,Villupuram,5,Puvaneshwari.K,NTK,NTK+,29056,2,Puvaneshwari.K,,
Tindivanam,S,Villupuram,5,Poovazhagi,BJP,BJP+,22221,3,Poovazhagi,,
Tindivanam,S,Villupuram,5,Udhaya Kumar,DMDK,PWF+,16931,4,Udhaya Kumar,,
Tindivanam,S,Villupuram,5,Rajendran.S.P,ADMK,ADMK+,8644,5,Rajendran.S.P,,
Vanur,S,Villupuram,5,Lakshmi,NTK,NTK+,67651,1,Lakshmi,,
Vanur,S,Villupuram,5,Shankar.M.P,PMK,PMK+,45407,2,Shankar.M.P,,
Vanur,S,Villupuram,5,Dr. Thiru Selva Kumar,BJP,BJP+,41921,3,Dr. Thiru Selva Kumar,,
Vanur,S,Villupuram,5,Chakkara Bhani.M,ADMK,ADMK+,14898,4,Chakkara Bhani.M,,
Vanur,S,Villupuram,5,Maithili Rajendran,DMK,DMK+,11947,5,Maithili Rajendran,,
Vanur,S,Villupuram,5,Ravi Kumar,VC,PWF+,3933,6,Ravi Kumar,,
Vikravandi,N,Villupuram,5,Aathavan.R.S,BJP,BJP+,62697,1,Aathavan.R.S,,
Vikravandi,N,Villupuram,5,Anbhu Mani.C,PMK,PMK+,37712,2,Anbhu Mani.C,,
Vikravandi,N,Villupuram,5,Saravana Kumar.S,NTK,NTK+,30466,3,Saravana Kumar.S,,
Vikravandi,N,Villupuram,5,Rama Moorthy.R,CPI,PWF+,24867,4,Rama Moorthy.R,,
Vikravandi,N,Villupuram,5,Radha Mani,DMK,DMK+,24592,5,Radha Mani,,
Vikravandi,N,Villupuram,5,Cheval R.Velu,ADMK,ADMK+,19097,6,Cheval R.Velu,,
Tirukkoyilur,N,Villupuram,5,Shakthi.Bala,PMK,PMK+,68741,1,Shakthi.Bala,,
Tirukkoyilur,N,Villupuram,5,Raja Sekar.T,NTK,NTK+,66428,2,Raja Sekar.T,,
Tirukkoyilur,N,Villupuram,5,Cheval G.Kothanda Raman,ADMK,ADMK+,44272,3,Cheval G.Kothanda Raman,,
Tirukkoyilur,N,Villupuram,5,Pon Mudi,DMK,DMK+,31406,4,Pon Mudi,,
Tirukkoyilur,N,Villupuram,5,Thanda Pani,IMKMK,BJP+,10072,5,Thanda Pani,,
Ulundurpet,N,Villupuram,5,Vasantha Vel.G.R,DMK,DMK+,67191,1,Vasantha Vel.G.R,,
Ulundurpet,N,Villupuram,5,Rajendran,IJK,BJP+,44848,2,Rajendran,,
Ulundurpet,N,Villupuram,5,Kumara Guru.R,ADMK,ADMK+,39922,3,Kumara Guru.R,,
Ulundurpet,N,Villupuram,5,Vijaya Kanth,DMDK,PWF+,32818,4,Vijaya Kanth,,
Ulundurpet,N,Villupuram,5,Thesinghu.C,NTK,NTK+,11421,5,Thesinghu.C,,
Ulundurpet,N,Villupuram,5,Balu,PMK,PMK+,950,6,Balu,,
Rishivandiyam,N,Villupuram,5,Senthil Kumar,IJK,BJP+,64501,1,Senthil Kumar,,
Rishivandiyam,N,Villupuram,5,Muniyan,NTK,NTK+,61721,2,Muniyan,,
Rishivandiyam,N,Villupuram,5,Pandiyan.K.P,PMK,PMK+,50451,3,Pandiyan.K.P,,
Rishivandiyam,N,Villupuram,5,Vincent Jaya Raj,DMDK,PWF+,44701,4,Vincent Jaya Raj,,
Rishivandiyam,N,Villupuram,5,Karthikeyan,DMK,DMK+,33497,5,Karthikeyan,,
Rishivandiyam,N,Villupuram,5,Kathir Thandabhani,ADMK,ADMK+,11141,6,Kathir Thandabhani,,
Sankarapuram,N,Villupuram,5,Mohan.P,ADMK,ADMK+,69140,1,Mohan.P,,
Sankarapuram,N,Villupuram,5,Govindhan,DMDK,PWF+,59227,2,Govindhan,,
Sankarapuram,N,Villupuram,5,Uthaya Surian,DMK,DMK+,32737,3,Uthaya Surian,,
Sankarapuram,N,Villupuram,5,Sivaraman.S,PMK,PMK+,28060,4,Sivaraman.S,,
Sankarapuram,N,Villupuram,5,Sarathy,IJK,BJP+,23391,5,Sarathy,,
Sankarapuram,N,Villupuram,5,Shankar,NTK,NTK+,14626,6,Shankar,,
Kallakurichi,S,Villupuram,5,Mariappan.C/K/.,NTK,NTK+,53911,1,Mariappan.C/K/.,,
Kallakurichi,S,Villupuram,5,Prabhu.A,ADMK,ADMK+,51592,2,Prabhu.A,,
Kallakurichi,S,Villupuram,5,Rama Moorthy,VC,PWF+,27110,3,Rama Moorthy,,
Kallakurichi,S,Villupuram,5,Kamaraj,DMK,DMK+,22403,4,Kamaraj,,
Kallakurichi,S,Villupuram,5,Senthamil Selvi,PMK,PMK+,21157,5,Senthamil Selvi,,
Kallakurichi,S,Villupuram,5,Ilaya Perumal,IJK,BJP+,15415,6,Ilaya Perumal,,
Gangavalli,S,Villupuram,5,Senthil Kumar.Po,NTK,NTK+,64285,1,Senthil Kumar.Po,,
Gangavalli,S,Villupuram,5,Siwakami Paramasivam,BJP,BJP+,58301,2,Siwakami Paramasivam,,
Gangavalli,S,Villupuram,5,Subha,DMDK,PWF+,54311,3,Subha,,
Gangavalli,S,Villupuram,5,Rekha Priya Dharshini,DMK,DMK+,11056,4,Rekha Priya Dharshini,,
Gangavalli,S,Villupuram,5,Marutha Muthu.A,ADMK,ADMK+,272,5,Marutha Muthu.A,,
Attur,S,Salem,5,Chinna Thambi.R.M,ADMK,ADMK+,62751,1,Chinna Thambi.R.M,,
Attur,S,Salem,5,Chella Durai,IJK,BJP+,54832,2,Chella Durai,,
Attur,S,Salem,5,Sutheesh Babu.S,NTK,NTK+,43428,3,Sutheesh Babu.S,,
Attur,S,Salem,5,Amsa Veni.E,PMK,PMK+,35071,4,Amsa Veni.E,,
Attur,S,Salem,5,Aathithyan,VC,PWF+,17111,5,Aathithyan,,
Attur,S,Salem,5,Artha Nari,INC,DMK+,9040,6,Artha Nari,,
Yercaud,S,Salem,5,Selvam.R,PMK,PMK+,70000,1,Selvam.R,,
Yercaud,S,Salem,5,Senkottu Vel.T,NTK,NTK+,40716,2,Senkottu Vel.T,,
Yercaud,S,Salem,5,Ponn. Raja,BJP,BJP+,40391,3,Ponn. Raja,,
Yercaud,S,Salem,5,Kumar,DMDK,PWF+,40158,4,Kumar,,
Yercaud,S,Salem,5,Chitra.K,ADMK,ADMK+,26239,5,Chitra.K,,
Yercaud,S,Salem,5,Tamil Selvan,DMK,DMK+,26044,6,Tamil Selvan,,
Omalur,N,Salem,5,Ammashi,DMK,DMK+,65309,1,Ammashi,,
Omalur,N,Salem,5,Ramesh,NTK,NTK+,22415,2,Ramesh,,
Omalur,N,Salem,5,Govindharaj,IJK,BJP+,21011,3,Govindharaj,,
Omalur,N,Salem,5,Tamilarasu.A,PMK,PMK+,9533,4,Tamilarasu.A,,
Omalur,N,Salem,5,Vetri Vel.S,ADMK,ADMK+,6177,5,Vetri Vel.S,,
Omalur,N,Salem,5,Elangovan,DMDK,PWF+,1414,6,Elangovan,,
Mettur,N,Salem,5,Bhoopathi,DMDK,PWF+,35983,1,Bhoopathi,,
Mettur,N,Salem,5,Chandra Sekaran,ADMK,ADMK+,26439,2,Chandra Sekaran,,
Mettur,N,Salem,5,Mani.G.K,PMK,PMK+,25177,3,Mani.G.K,,
Mettur,N,Salem,5,Venkatachalam,NTK,NTK+,24518,4,Venkatachalam,,
Mettur,N,Salem,5,Parthibhan,MDMDK,DMK+,21350,5,Parthibhan,,
Mettur,N,Salem,5,Bala Subramanian,BJP,BJP+,807,6,Bala Subramanian,,
Edappadi,N,Salem,5,Venkateshan,IJK,BJP+,69941,1,Venkateshan,,
Edappadi,N,Salem,5,Edapadi K.Palani Swamy,ADMK,ADMK+,54449,2,Edapadi K.Palani Swamy,,
Edappadi,N,Salem,5,Murugeshan,DMK,DMK+,45319,3,Murugeshan,,
Edappadi,N,Salem,5,Anna Durai.N,PMK,PMK+,38176,4,Anna Durai.N,,
Edappadi,N,Salem,5,Ramesh,NTK,NTK+,27394,5,Ramesh,,
Sankari,N,Salem,5,Janaki,NTK,NTK+,54060,1,Janaki,,
Sankari,N,Salem,5,Raja.S,ADMK,ADMK+,45282,2,Raja.S,,
Sankari,N,Salem,5,Murugeshan.AC,BJP,BJP+,30525,3,Murugeshan.AC,,
Sankari,N,Salem,5,Rajeshwaran,INC,DMK+,29589,4,Rajeshwaran,,
Sankari,N,Salem,5,Selva Kumar.K,TMC,PWF+,14774,5,Selva Kumar.K,,
Sankari,N,Salem,5,Kannan @ Kannayyan,PMK,PMK+,4020,6,Kannan @ Kannayyan,,
