party,year,votes
KRS,1991,490275
KS,2009,53033
KSM,1996,113975
KSP,1951,102098
KSP,1989,2263
KSVP,2004,6948
KSVP,2009,4035
KTMK,2009,1686
KTVP,1998,371346
KVMP,1996,1056
KVP,1998,5905
KVSB,1999,1481
KVSP,2004,25258
KVSP,2009,10447
Kalinga Sena,2014,21143
Kalyankari Jantantrik Party,2014,4839
Kamarajar Deseeya Congress,2014,1345
Kannada Chalavali Vatal Paksha,2014,707
Karunaadu Party,2014,33172
Kerala Congress  (M),2014,424194
Kisan Majdoor Berojgar Sangh,2014,7839
Kosal Kranti Dal,2014,8448
Krantikari Vikas Dal,2014,7541
LAB(B),1991,434
LAJM,1991,257
LB,2009,9407
LBP,2004,187787
LBP,2009,118470
LCP,2004,2776
LD,1996,11957
LD,2009,24588
LHM,1991,532
LHP,1996,37127
LJNSP,2004,2771427
LJP,2009,1891963
LJSPI,1999,1227
LJVM,2009,3658
LKD,1984,14040064
LKD,1985,46627
LKD,1991,173884
LKD,1992,2839
LKD (B),1989,602110
LKJP,2009,351
LKP,1989,4731
LKP,1991,2873
LKSGM,2009,53637
LKSP,2009,11893
LM,2009,5087
LMD,1989,1035
LMS,1989,703
LP,1996,8758
LP(S),2004,63989
LPI,1989,99
LPI(P),1991,684
LPI(V),1996,68
LPI(V),2004,4977
LPSP,2004,9913
LPSP,2009,29459
LRP,1971,34070
LRP,2004,54097
LS,1998,2548725
LS,1999,40997
LSD,2004,2646
LSP,2009,557376
LSS,1951,309940
LSS,1962,281755
LSS,1971,62527
LSVP,2009,2507
LSWP,1998,43770
LSWP,1999,23630
LSWP,2004,22811
LSWP,2009,40803
LTP,1989,1272
LTP,1991,408
LTSD,2009,270040
LVKP,2009,9198
Labour Party of India (V.V. Prasad),2014,1993
Lok Bharati,2014,13399
Lok Dal,2014,48198
Lok Jan Shakti Party,2014,2295929
Lok Parivartan Party(DC),2014,4396
Lok Satta Party,2014,169648
Lok Shakti,2014,3722
Lokpriya Samaj Party,2014,13304
Loktantrik Janata Party (Secular),2014,10026
Loktantrik Rashrtavadi Party,2014,1491
Loktantrik Samajwadi Party,2014,2820
M-COR,1989,247013
M-COR,1991,171767
MADMK,1998,278324
MADMK,1999,396216
MADP,2009,20534
MAG,1971,54597
MAG,1977,118748
MAG,1980,127188
MAG,1984,83122
MAG,1989,116392
MAG,1991,64752
MAG,1996,129220
MAG,1998,70191
MAG,2004,7584
MAG,2009,6638
MAMAK,2009,68346
MANP,2009,39257
MAP,2009,1816
MB,1996,295
MB(S)P,2004,1675
MB(S)P,2009,910
MBP,2009,1006
MBT,1996,78335
MBT,1999,13461
MBT,2004,47560
MC,2004,5113
MC,2009,2765
MCO,1996,114406
MCO,1998,263901
MCO,1999,351839
MCO,2004,147470
MCO,2009,91489
MCPI,1989,100300
MCPI,1991,43085
MCPI(S),1996,33900
MCPI(S),1998,24417
MCPI(S),1999,120220
MCPI(S),2004,38766
MCPI(S),2009,15922
MD,2009,65398
MDF,1999,8444
MDL,1991,573
MDMK,1996,1235812
MDMK,1998,1602504
MDMK,1999,1620527
MDMK,2004,1679870
MDMK,2009,1112908
MDP,2009,8946
MELPHC,1996,3155
MGMK,1991,228
MHA,1991,1692
MIM,1989,617376
MIM,1991,456900
MJM,2004,552
MJP,2009,245174
MKD,2009,1106
MKSD,1999,1517
MKUP,2009,1341
MKVP,1996,11152
ML,1951,79470
ML,1962,417761
MLO,1977,318979
MLP,1971,41198
MMKA,2009,16699
MMM,2009,8839
MMS,1996,572
MMUP,2009,4444
MNF,1989,70749
MNF,1991,82019
MNF,1996,111710
MNF,1998,82047
MNF,2004,182864
MNS,2009,1503863
MNVP,2004,14233
MOP,2009,2285
MP,1998,2903
MPC,1989,677
MPKP,1996,5765
MPKP,1999,3571
MPP,1989,694
MPP,1991,225
MPP,1996,64266
MPP,1998,115785
MPP,1999,145192
MPP,2004,77055
MPP,2009,101787
MPVC,1996,337539
MRC,1998,8623
MRC,1999,3579
MRP,1971,31029
MRP,1977,109130
MRP,1980,49277
MRP,1984,149019
MRP,1989,147128
MRP,1991,169692
MRRC,2004,1399
MRS,2004,3345
MSCP,1998,190358
MSCP,1999,222417
MSD,1991,28528
MSP,1996,74
MSP,1998,1036
MSS,1996,841
MUB,1991,1191
MUL,1967,413868
MUL,1971,416545
MUL,1977,565007
MUL,1980,475507
MUL,1984,658821
MUL,1989,974234
MUL,1991,845418
MUL,1996,757316
MUL,1998,800765
MUL,1999,833562
MUL,2004,770098
MUL,2009,877494
MUM,1971,36526
MUM,1980,26363
MUM,1989,25839
Mahajana Socialist Party,2014,22023
Mahamukti Dal,2014,2482
Mahan Dal,2014,22774
Mahanwadi Party,2014,2101
Maharashtra Navnirman sena,2014,708118
Maharashtra Parivartan Sena (T),2014,13339
Maharashtra Vikas Aghadi,2014,2979
Mahila Swabhiman Party,2014,2425
Majdoor Kisan Union Party,2014,362
Majlis Bachao Tahreek,2014,11347
Majlis Markaz-e-Siyasee Party,2014,959
Makkal Manadu Katchi,2014,8468
Manav Mukti Morcha,2014,4409
Manavadhikar Janshakti Party,2014,997
Manavtawadi Samaj Party,2014,17890
Manipur Democratic Peoples's Front,2014,2005
Manithaneya Makkal Katchi,2014,236679
Marumalarchi Dravida Munnetra Kazhagam,2014,1417535
Marxist Co-Ordination,2014,110185
Marxist Communist Party of India (United),2014,13028
Megh Desham Party,2014,10490
Minorities Democratic Party,2014,11225
Moderate Party,2014,5406
Moolniwasi Samaj Party,2014,4986
Most Backward Classes Of India,2014,19417
Moulik Adhikar Party,2014,15742
NAGP,1991,494628
NAT,1951,3232
NBNP,2004,7169
NBNP,2009,37219
NBP,1991,787
NCO,1971,15285851
NCO,1977,3252217
NCP,1999,8260311
NCP,2004,7023175
NCP,2009,8521502
NCY,1999,179
NDEP,2009,2787
NDPF,1996,4462
NDPF,2009,1557
NELU,2009,27388
NIP,1996,19135
NJP,1962,195812
NLHP,2009,72620
NLP,1998,147706
NLP,1999,136385
NLP,2004,367049
NLP,2009,5371
NMK,2009,1114
NMNP,2004,1030
NMP,1999,19344
NND,1984,113919
NNO,1967,0
NNO,1971,58511
NOC,1999,1566
NP,1991,1768
NPAP,1998,24638
NPC,1989,239124
NPC,1991,328015
NPF,2004,715366
NPF,2009,832224
NPP,1991,1572
NPP,1998,1066
NRP,1989,839
NRP,1996,5271
NRP,1998,694
NSCP,2009,902
NSP,2004,3069
NSSP,2004,730
NSSP,2009,573
NSTP,2004,4649
NTRTDP(LP),1996,3249267
NTRTDP(LP),1998,384211
NTRTDP(LP),1999,61635
NTRTDP(LP),2004,759
NVAS,1996,66065
NYP,2009,2275
Naga Peoples Front,2014,994505
Nagrik Ekta Party,2014,2917
Naitik Party,2014,36181
Namadhu Makkal Katchi,2014,2511
Narayani Sena,2014,1725
National Development Party,2014,3618
National Janhit Congress (AB),2014,2196
National Lokmat Party,2014,3072
National Loktantrik Party,2014,11174
National Organisation Congress,2014,1202
National Party,2014,791
National Peoples Party,2014,576444
National Tiger Party,2014,3251
National Unionist Zamindara Party,2014,124990
National Youth Party,2014,1176
Nationalist Congress Party,2014,8635554
Nav Bharat Democratic Party,2014,16153
Nava Bharat National Party,2014,485
Navbharat Nirman Party,2014,441
Navodyam Party,2014,1455
Naya Daur Party,2014,15965
Nehru Janhit Congress,2014,1463
New All India Congress Party,2014,3778
New India Party,2014,5082
Nirjatita Samaj Biplabi Party,2014,3829
None of the Above,2014,6000197
OCG,1998,4048
OMM,2009,2591
OPF,1989,2682
OVP,1991,15893
Odisha Jan Morcha,2014,44397
PBHP,2009,4810
PBI,1971,43849
PBI,1989,23331
PBI,1991,22734
PBLP,2004,1690
PBRML,1996,8624
PBRML,2004,10446
PDA,2009,224719
PDF,1951,1367404
PDF,1957,1044032
PDF,1999,172434
PDF,2009,3502
PDFO,2009,20699
PDI,1989,1392
PDL,1989,918
PDL,1991,2213
PDLI,1996,1276
PDM,1999,33164
PDP,1996,65641
PDP,1998,92083
PDP,2004,45720
PDS,2004,81999
PDS,2009,6141
PECP,2009,537638
PFR,1967,42725
PG,2009,30340
PHJ,1971,66669
PHJ,1977,27116
PHJ,1989,2890
PHK,1996,34147
PHSP,2004,5672
PKD,1989,493
PKMK,2009,981
PLP,2009,1243
PMK,1989,1561371
PMK,1991,1283065
PMK,1996,571910
PMK,1998,1548976
PMK,1999,2377741
PMK,2004,2169020
PMK,2009,1944619
PMM,1991,2259
PMP,2004,126
PMSP,1996,9974
PMSP,1998,5495
PMSP,1999,36920
PMSP,2004,54746
PMSP,2009,57649
PNF,1989,314
PNK,2009,15074
PP,1951,16955
PP,1957,140742
PP,2004,485
PPA,1980,69810
PPA,1984,78455
PPA,1989,96181
PPA,2009,5996
PPC,1980,53891
PPI,1989,478
PPIS,2009,578
PPNMS,1996,6667
PPOI,1999,31699
PPOI,2004,130362
PPOI,2009,287576
PPP,1989,1374
PPVP,1998,576
PRAP,2009,6590046
PRBD,2009,7497
PRBP,2004,261219
PRBP,2009,11341
PRC,1991,605
PRC,1996,124
PRCP,2004,29792
PRCP,2009,76518
PRISM,1998,1595
PRP,2004,2165
PRPI,2009,5819
PRSP,2009,17570
PSJP,1999,12820
PSJP,2004,12273
PSP,1957,12542666
PSP,1962,7848345
PSP,1967,4456487
PSP,1971,1526076
PSP,1996,407
PSP,1998,1828
PSP,1999,858
PSS,1996,1049
PSSS,1996,26403
PSSS,1998,23029
PT,1998,446583
PT,1999,568196
PT,2009,120797
PTC,1985,310150
PTCA,1991,87387
PTCA,1998,12952
PTSS,2004,11561
PTSS,2009,6316
PURP,1951,10778
PVP,1989,2055
PVP,1991,6897
PVP(P),1996,1185
PWA,1989,1964
PWP,1951,992187
PWP,1957,924832
PWP,1962,703582
PWP,1967,1028755
PWP,1971,741535
PWP,1977,1030232
PWP,1980,470567
PWP,1984,463963
PWP,1989,636589
PWP,1991,295402
PWPI,1996,437805
PWPI,1998,269609
PWPI,1999,282583
PWPI,2004,319572
Parcham Party of India,2014,4082
Parivartan Samaj Party,2014,433
Party for Democratic Socialism,2014,22267
Paschimanchal Vikas Party,2014,28775
Pattali Makkal Katchi,2014,1827566
Peace Party,2014,518726
Peasants And Workers Party of India,2014,497721
People's Party of Arunachal,2014,47018
People's Party of India(secular),2014,331
Peoples Guardian,2014,7222
Poorvanchal Rashtriya Congress,2014,4852
Prabuddha Republican Party,2014,19470
Pragatisheel Magahi Samaj,2014,3076
Pragatisheel Manav Samaj Party,2014,39038
Pragatisheel Samaj Party,2014,4052
Prajatantra Aadhar Party,2014,698
Prajatantrik Samadhan Party,2014,21284
Prem Janata Dal,2014,28681
Prism,2014,2694
"Proutist Bloc, India",2014,6509
Proutist Sarva Samaj,2014,15368
Punjab Labour Party,2014,1386
Puthiya Tamilagam,2014,262812
Pyramid Party of India,2014,185449
Qaumi Ekta Dal,2014,354578
RAD,2009,4072
RAJUP,2009,2005
RALOP,2009,2021
RALP,2009,5460
RAM,1996,4574
RAM,1998,4596
RAM,1999,1169
RAS,1998,4371
RASAP,2009,2754
RASD,2009,22453
RASHTRIYA MORCHA PARTY,2014,927
RASHTRIYA VIKLANG PARTY,2014,2958
RASJP,2009,5841
RBCP,2009,2244
RBD,2009,3138
RBNNS,1996,528
RCI,1971,65622
RCI,1977,45047
RCP,1962,60813
RCP,2004,28757
RCP,2009,25842
RCPI,1951,67275
RCPI(R),1996,1803
RCPI(R),1998,4420
RCPI(R),1999,1516
RCPI(R),2004,16691
RCPI(R),2009,7788
RDHP,2009,9005
RDMP,2009,139404
RDNBP,1999,384
RDSD,2009,484
REP,1951,44286
REP,1962,3255985
RGD,2004,1977
RGOP,2009,1802
RHD,2004,12346
RIS,1989,12858
RJAP,2004,487
RJAP,2009,1394
RJC,1998,297
RJD,1998,10229971
RJD,1999,10150492
RJD,2004,9384147
RJD,2009,5280084
RJDP,1998,1708
RJJM,2009,13194
RJPK,2009,12732
RJSD,2009,2202
RJVP,1998,11267
RJVP,1999,6258
RJVP,2004,10032
RJVP,2009,36584
RKD,1991,1125
RKD,1996,520
RKJP,2009,15847
RKP,1996,3635
RKSP,2004,9145
RKSP,2009,71857
RLD,1999,1364030
RLD,2004,2463607
RLD,2009,1821054
RLP,2009,1866
RLSM,2004,2476
RMEP,1996,3176
RMEP,1998,946
RMEP,1999,437
RMEP,2009,4588
RMGLMP,2009,1780
RMMP,1998,710
RMSP,2009,7290
RND,2009,3155
RNP,1996,13160
RNSP,2009,2041
RP(K),2009,11724
RPA,1971,22428
RPC(S),2009,3980
RPD,2004,139145
RPG,1971,153794
RPI,1967,3607711
RPI,1977,155972
RPI,1980,351987
RPI,1984,22877
RPI,1989,129300
RPI,1991,36541
RPI,1996,1454363
RPI,1998,1351019
RPI,1999,505664
RPI,2004,295545
RPI,2009,294650
RPI(A),1991,521
RPI(A),1996,22640
RPI(A),1999,14098
RPI(A),2004,367510
RPI(A),2009,379746
RPI(D),1996,10072
RPI(D),2004,2370
RPI(D),2009,5809
RPI(GG),1989,539
RPI(KH),1996,8491
RPI(KH),1998,2167
RPI(KH),2004,4790
RPI(KH),2009,5566
RPI(KM),1991,1300
RPI(S),1996,2081
RPIE,2009,12767
RPK,1971,542662
RPK,1977,956072
RPK,1980,383022
RPK,1984,165320
RPK,1989,468615
RPK,1991,91557
RPP,1951,57815
RPP,1989,2791
RPP,1998,3688
RPP,2009,29151
RPPI,1991,4967
RPPI,1996,7298
RPPI,1998,1215
RPPI,2009,3894
RRCD,1998,343
RRD,2009,7915
RRP,1951,2091898
RRP,1957,460838
RRP,1962,688990
RRP,1971,24093
RRP,1977,26169
RRP,1980,61161
RRP,1989,2998
RRP(S),1991,2519
RRS,2009,1284
RSBP,2004,58296
RSBP,2009,152633
RSD,1991,8825
RSD,1999,1407
RSD,2004,7374
RSDP,1996,3360
RSGP,2004,2043
RSKP,2004,379
RSM,1971,6198
RSMD,2004,209694
RSMD,2009,153455
RSNP,2004,27594
RSP,1951,468108
RSP,1957,308742
RSP,1962,451717
RSP,1971,724001
RSP,1977,851164
RSP,1980,1285517
RSP,1984,1173869
RSP,1989,1854276
RSP,1991,1749730
RSP,1996,2105469
RSP,1998,2032585
RSP,1999,1500817
RSP,2004,1689794
RSP,2009,1573650
RSP(S),2009,2305
RSP(UP),1951,20665
RSPP,1996,8779
RSPS,2004,146571
RSPS,2009,215042
RSRP,1996,6000
RSSD,1996,348
RSUPRP,2009,1532
RSWD,2009,43184
RTKP,2009,55805
RUD,1991,316
RUD,1996,3476
RUD,1998,1394
RUD,1999,4104
RVNP,2004,3737
RVNP,2009,34670
RVP,2004,15159
RVP,2009,584
RWS,2009,144735
RWSP,2009,450
RYS,2009,482
Rajasthan Vikas Party,2014,8152
Rajnaitik Vikalp Party,2014,38992
Rajyadhikara Party,2014,4112
Rani Chennamma Party,2014,2803
Rashtra Sewa Dal,2014,6994
Rashtravadi Janata Party,2014,8713
"Rashtrawadi Parivartan Party (L.B,)",2014,1195
Rashtrawadi Samaj Party,2014,2181
Rashtriya Aam Party,2014,3408
Rashtriya Ahinsa Manch,2014,13185
Rashtriya Ambedkar Dal,2014,4327
Rashtriya Apna Dal,2014,12366
Rashtriya Bahujan Congress Party,2014,5799
Rashtriya Bahujan Hitay Party,2014,1842
Rashtriya Bandhutwa Party,2014,1521
Rashtriya Congress (Babu Jagjivanram),2014,4527
Rashtriya Congress(J) Party,2014,7650
Rashtriya Deshaj Party,2014,38322
Rashtriya Ekta Party,2014,601
Rashtriya Garib Dal,2014,1111
Rashtriya Gondvana Party,2014,10142
Rashtriya Indepndent Morcha,2014,16299
Rashtriya Jan-Jagram Morcha,2014,7147
Rashtriya Janadhikar Party,2014,415
Rashtriya Janadhikar Suraksha Party,2014,32514
Rashtriya Janasachetan Party (R.J.P.),2014,18206
Rashtriya Janata Dal,2014,7442313
Rashtriya Jankranti Morcha,2014,4647
Rashtriya Jankranti Party,2014,217
Rashtriya Janmorcha,2014,1145
Rashtriya Janpriya Party,2014,4117
Rashtriya Janshakti Party(Eklavya),2014,2654
Rashtriya Janshanti Party,2014,1571
Rashtriya Janta Party,2014,1526
Rashtriya Janwadi Party (Krantikari),2014,10797
Rashtriya Jatigat Aarakshan Virodhi Party,2014,259
Rashtriya Karmyog Party,2014,2096
Rashtriya Komi Ekta Party,2014,1254
Rashtriya Kranti Party,2014,4112
Rashtriya Krantikari Samajwadi Party,2014,46756
Rashtriya Lok Dal,2014,696919
Rashtriya Lok Samta Party,2014,1078473
Rashtriya Manav samman Party,2014,1572
Rashtriya Naujawan Dal,2014,6192
Rashtriya Parivartan Dal,2014,95644
Rashtriya Praja Congress  (Secular),2014,2025
Rashtriya Rashtrawadi Party,2014,2225
Rashtriya Samaj Paksha,2014,458580
Rashtriya Samanta Dal,2014,30880
Rashtriya Sant Sandesh Party,2014,3283
Rashtriya Sarvajan Party,2014,4215
Rashtriya Sawarn Dal,2014,665
Rashtriya Shoshit Samaj Party,2014,1054
Rashtriya Ulama Council,2014,56324
Rashtriya Uttarakhand Party,2014,1629
Rashtriya Vikas Manch Party,2014,1434
Rashtriya Vikas Party,2014,2396
Rashtriya mahan Gantantra Party,2014,2872
Rastriya Insaaf Party,2014,4219
Rayalaseema Parirakshana Samithi,2014,4521
Regional Democratic Secular Congress,2014,10800
Republican Backward Congress,2014,6265
Republican Bahujan Sena,2014,2910
Republican Paksha (Khoripa),2014,70924
Republican Party of India,2014,94802
Republican Party of India (A),2014,199848
Republican Party of India (Khobragade),2014,23110
Republican Party of India Ektavadi,2014,910
Revolutionary Socialist Party,2014,1666380
Revolutionary Socialist Party of Kerala  (Bolshevik) RSP.B,2014,43051
SABJAN,1996,1120
SAD,1951,1047611
SAD,1971,1279873
SAD,1977,2373331
SAD,1980,1396412
SAD,1985,2577279
SAD,1989,100570
SAD,1996,2534979
SAD,1998,3001769
SAD,1999,2502949
SAD,2004,3506681
SAD,2009,4004789
SAD(B),1989,427609
SAD(M),1989,2318872
SAD(M),1991,88084
SAD(M),1992,77970
SAD(M),1996,339520
SAD(M),1998,248529
SAD(M),1999,298846
SAD(M),2004,387682
SAD(M),2009,43137
SAMO,2009,131379
SAP,1996,7256086
SAP,1998,6491639
SAP,2004,201276
SAP,2009,31324
SARVAJAN SAMAJ PARTY (D),2014,6681
SBHP,1996,470
SBP,1999,71279
SBS,2004,4303
SBSP,2004,275267
SBSP,2009,319307
SCF,1951,2521695
SCF,1957,2038890
SCP,1991,250
SCR,1980,11632
SDF,1996,124218
SDF,1998,102440
SDF,1999,107828
SDF,2004,153409
SDF,2009,159351
SDP,2004,1265
SDP(MP),1996,1327
SDP(MP),1998,6671
SGF,2009,1117
SGPP,2009,2284
SHD,1971,193389
SHP,1989,3756
SHRP,2004,2765
SHRP,2009,4639
SHS,1971,227468
SHS,1980,129351
SHS,1989,339426
SHS,1991,2208712
SHS,1996,4989994
SHS,1998,6528566
SHS,1999,5672412
SHS,2004,7056255
SHS,2009,6454950
SHS(R),1991,8810
SHSAD,1999,406421
SHSP,1996,1684
SHSP,1998,4722
SHSP,1999,4080
SHSP,2004,395
SJEP,2009,2849
SJJP,1991,70368
SJP,1980,31750
SJP(M),1996,5784
SJP(R),1998,1181083
SJP(R),1999,297337
SJP(R),2004,337386
SJP(R),2009,30091
SJTP,2009,4816
SKD,1991,29647
SKD,1996,522
SKP,1951,137343
SKP,2009,60333
SKS,1951,29766
SL,1962,80227
SLAP,2004,2987
SLI,1991,2852
SLI,1996,384
SLL,1989,391
SLL,1991,246
SLP,1991,125738
SLP(L),1996,3006
SLP(L),1998,1321
SLP(L),2004,18628
SLP(L),2009,9712
SLP(R),1996,848
SMBHP,2009,14435
SMP,1991,2921
SMP,1996,48056
SMSP,2004,78791
SOC,1962,3099397
SOC,1971,55064
SOCIAL DEMOCRATIC PARTY OF INDIA,2014,396522
SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),2014,520959
SOP,1989,12430
SOP(L),1989,17639
SOP(L),1991,12928
SOP(RP),1991,7104
SP,1951,11216719
SP,1991,4642
SP,1996,10989241
SP,1998,18167640
SP,1999,13717021
SP,2004,16824072
SP,2009,14284638
SPC,1980,5125
SPI,1999,1180
SPI,2004,3041
SPSP,1999,13437
SPVD,2004,27135
SRP,1989,1928
SRP,1991,571
SRP,1999,30779
SRS,1991,1040
SSBD,2009,589
SSD,1977,96753
SSD,1980,38226
SSD,1989,42282
SSD,1991,19925
SSD,1996,11937
SSD,1998,24303
SSD,1999,19330
SSD,2004,8862
SSD,2009,26807
SSJP,1998,4238
SSJP,1999,2932
SSJP,2004,2679
SSP,1967,7171628
SSP,1971,3555639
SSP,1989,91608
SSP,1991,106247
SSP,1996,42175
SSP,1999,86466
SSP,2004,3216
STBP,2009,188608
STPI,2009,5537
SUC,1971,157703
SUC,1977,280995
SUC,1980,307224
SUC,1984,196767
SUC,1989,8747
SUP,1991,4705
SUP,1996,4917
SUSP,2009,5120
SVP,1989,3470
SVPP,2009,2275
SVRP,2004,18374
SVRP,2009,1704
SVSP,1996,84725
SVSP,1998,76980
SVSP,1999,10906
SVSP,2004,21246
SVSP,2009,2486
SWA,1962,9085252
SWA,1967,12646847
SWA,1971,4497988
SWD,1996,1637
SWD,2004,298
SWJP,1998,9848
SWJP,2004,17717
SWJP,2009,23539
SWP,2009,481025
SWPI,2009,1230
SYP,1996,3319
Samaikya Telugu Rajyam,2014,6517
Samaikyandhra Parirakshana Samithi,2014,4870
Samajwadi Jan Parishad,2014,10008
Samajwadi Janata Party (Rashtriya),2014,59756
Samajwadi Party,2014,18672916
Samajwadi Samaj Party,2014,4947
Samata Kranti Dal,2014,20910
Samata Party,2014,21635
Samata Samadhan Party,2014,16501
Samruddha Odisha,2014,9794
Samta Vikas Party,2014,763
Samtawadi Republican Party,2014,9561
Samyak Parivartan Party,2014,30805
Sanatan Sanskriti Raksha Dal,2014,7115
Sankhyanupati Bhagidari Party,2014,16078
Sanyukt Samajwadi Dal,2014,6788
Sardar Vallabhbhai Patel Party,2014,394
Sarva Janata Party,2014,15474
Sarva Samaj Kalyan Party,2014,10239
Sarvajan Kalyan Loktantrik Party,2014,19253
Sarvshreshth Dal,2014,2329
Shakti Sena (Bharat Desh),2014,4465
Shiromani Akali Dal,2014,3636148
Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),2014,35516
Shivrajya Party,2014,944
Shivsena,2014,10262982
Shoshit Samaj Dal,2014,16446
Shoshit Sandesh Party,2014,2982
Shramajeevi Party,2014,8003
Sikkim Democratic Front,2014,163698
Sikkim Krantikari Morcha,2014,121956
Social Action Party,2014,682
Socialist Janata (Democratic),2014,307597
Socialist Party (India),2014,41516
Socialist Party (Lohia),2014,1997
Socialist Republican Party,2014,6512
Socialistic Democratic Party,2014,17435
Suheldev Bhartiya Samaj Party,2014,118947
Swabhimani Paksha,2014,1105073
Swaraj (J),2014,14152
Swarajya Party Of India,2014,11361
Swatantra Samaj Party,2014,4016
TDK,1999,25209
TDK,2004,25348
TDP,1984,10132859
TDP,1989,9909728
TDP,1991,8223271
TDP,1996,9931826
TDP,1998,10199463
TDP,1999,13297370
TDP,2004,11844811
TDP,2009,10481659
TEC,1971,43548
TGPP,1998,344
THMM,1999,2675
THPI,1998,4439
THPI,1999,4192
THPI,2009,7296
TLJ,1998,1697
TMC(M),1996,7339982
TMC(M),1998,5169183
TMC(M),1999,2058636
TMK,1991,665
TMM,1989,64885
TMM,1991,55165
TNC,1984,144076
TNGP,2004,14933
TNHVYK,1996,422
TNP,1962,92389
TNPWP,1999,1631
TNT,1951,889292
TP,1951,36158
TPPP,2009,48136
TPS,1971,1873589
TRC,1999,338278
TRM,1989,12859
TRMRPPI,1998,2503
TRS,2004,2441405
TRS,2009,2582326
TS,1951,116629
TTC,1951,115893
TUJS,1996,52300
TUS,1977,35916
TUS,1980,111953
Tamil Nadu Makkal Congress,2014,49038
Telangana Communist Party of India,2014,2311
Telangana Loksatta Party,2014,2568
Telangana Rashtra Samithi,2014,6736490
Telugu Desam,2014,14094545
The Lok Party of India,2014,5804
The Religion of Man Revolving Political Party of India,2014,1071
Thrinamool Tamil Nadu Congress,2014,474
Tripura Pragatishil Gramin Congress,2014,8952
UBNLF,1999,7611
UCP,1998,1591
UCP,1999,1414
UCPI,1998,10018
UCPI,2009,1713
UDF,1977,124627
UDF,1980,140210
UDP,1998,213924
UDP,1999,107197
UDP,2009,124402
UFN,1971,89514
UGDP,1996,109346
UGDP,1998,132558
UGDP,1999,11153
UGDP,2004,5881
UGDP,2009,16727
UGF,1967,1714
UGS,1967,100137
UGS,1971,58401
UIDC,1996,374
UKD,1989,39465
UKD,1991,47369
UKKD,1998,30654
UKKD,1999,14302
UKKD,2004,43899
UKKD,2009,38633
UKS,1951,60254
UMF,1991,206737
UMFA,1996,244571
UMFA,1998,357759
UMFA,1999,53661
UMFA,2004,64657
UMK,2009,13193
UNLP,2009,2658
UPPP,1951,213656
UPRP,1989,91740
UPRP,1991,28379
UPRP,1996,22515
UPRP,1998,552
UPRP,2009,4604
URC,1991,170376
URMCA,1998,151543
URMCA,1999,246942
USYP,2004,33128
UTC,1971,1053176
UTNLF,1996,34803
UTNLF,1998,11287
UTNLF,1999,8429
UTTARAKHAND PARIVARTAN PARTY,2014,2045
UWF,2009,12338
Ulzaipali Makkal Katchy,2014,9194
Union Party of India,2014,944
United Communist Party of India,2014,6472
United Democratic Party,2014,106817
Uttar Pradesh Republican Party,2014,542
VAJP,2009,17868
VANCHITSAMAJ INSAAF PARTY,2014,23991
VBP,1989,621
VBP,1991,56
VCK,2009,735847
VHP,1971,352514
VHP,1977,192867
VHS,2009,935
VJC,2004,9097
VJP,1996,3328
VJP,2004,1304
VJS,1989,1093
VP,2004,2998
VP,2009,5840
VPP,1991,5597
VRP,2004,36974
VVS,2009,837
Vanchit Jamat Party,2014,350
Vichara Jagruthi Congress Paksha,2014,3972
Viduthalai Chiruthaigal Katchi,2014,606110
Vishva Hindustani Sangathan,2014,2880
Vishva SHakti Party,2014,263
Voters Party,2014,1089
WBS(BM),1989,2411
WBTC,1998,8920583
WPI,1991,1781
WT,1962,11372
Welfare Party Of India,2014,228642
YFE,2009,2099
YGP,2004,4140
YSP,2004,6580
YSP,2009,2582
YVP,1991,28159
YVP,2009,3129
Yuva Sarkar,2014,4578
Yuvajana Sramika Rythu Congress Party,2014,13991280
ZP,1951,291300
awami aamjan party,2014,4378
