state,district,sex_ratio,muslim_pct,houseless_per_lakh
Gujarat,Junagadh,0.92,12.20736383,228.5750116
Rajasthan,Jodhpur,0.89,11.16190895,440.0670976
Karnataka,Belgaum,0.94,11.05542841,200.9138305
West Bengal,Barddhaman,0.95,20.72887516,65.52586613
Odisha,Jharsuguda,0.95,2.205848094,262.8105021
Bihar,Muzaffarpur,0.92,15.52877259,47.6144653
Rajasthan,Bhilwara,0.93,5.913458165,313.5116418
Haryana,Fatehabad,0.86,0.887463098,197.3437677
Jammu & Kashmir,Jammu,0.8,7.025617697,113.7939734
Jharkhand,Dhanbad,0.92,16.08359437,56.80787428
Uttar Pradesh,Kansiram Nagar,0.91,14.88265973,101.9684434
Maharashtra,Pune,0.89,7.144711524,124.3874483
Punjab,Amritsar,0.83,0.501956111,80.9425308
West Bengal,Nadia,0.96,26.75675362,57.2219212
Uttar Pradesh,Basti,0.94,14.79064007,82.16796837
Andhra Pradesh,Krishna,0.93,6.796899454,145.7254818
Uttar Pradesh,Unnao,0.93,11.69273126,111.3124673
Maharashtra,Nashik,0.89,11.34813786,193.3950934
Odisha,Ganjam,0.91,0.377299038,176.904085
Rajasthan,Dungarpur,0.93,2.064164684,207.2662745
Uttar Pradesh,Shrawasti,0.95,30.78512674,112.1392281
Uttar Pradesh,Auraiya,0.91,7.391060096,112.6458361
Uttar Pradesh,Azamgarh,0.93,15.57662661,67.79494975
Odisha,Cuttack,0.92,5.382534378,116.937896
Jharkhand,Ranchi,0.94,14.09482979,136.7417311
Rajasthan,Rajsamand,0.91,2.911731571,314.7163619
Jammu & Kashmir,Pulwama,0.81,95.48908001,151.8449789
Punjab,Muktsar,0.85,0.480432334,226.3010369
Jammu & Kashmir,Badgam,0.83,97.65291975,143.2845326
Bihar,Vaishali,0.91,9.555879636,46.40887709
Uttar Pradesh,Baghpat,0.84,27.97924558,81.11750296
Uttar Pradesh,Kushinagar,0.94,17.40037435,65.39405882
Punjab,Moga,0.87,0.942810717,181.4719818
Madhya Pradesh,Sehore,0.93,10.52212559,404.4742293
Bihar,Lakhisarai,0.92,4.084874594,99.40933868
Uttar Pradesh,Mahamaya Nagar,0.87,10.19027192,95.4171641
Uttar Pradesh,Farrukhabad,0.9,14.68520118,93.88904331
Bihar,Begusarai,0.93,13.712923,53.62659529
Telangana,Medak,0.96,11.2896962,267.3006981
Uttar Pradesh,Gonda,0.94,19.76211437,97.61441665
Madhya Pradesh,Ratlam,0.95,10.38239424,280.6052496
Maharashtra,Nagpur,0.93,8.401592756,178.8519352
Madhya Pradesh,Ujjain,0.95,11.73371705,259.2024416
Rajasthan,Bundi,0.9,5.995916846,444.2320052
Gujarat,Rajkot,0.88,9.498816945,253.3802875
Rajasthan,Baran,0.92,6.541294045,496.3381871
Punjab,Sangrur,0.85,10.82161399,190.3128925
Haryana,Bhiwani,0.85,0.949251887,254.0923677
Jharkhand,Jamtara,0.95,20.78347294,202.0120297
Tamil Nadu,Kancheepuram,0.96,4.346524431,99.54350051
West Bengal,Maldah,0.96,51.27175912,83.3073233
Maharashtra,Nandurbar,0.95,5.835241871,325.5485214
Madhya Pradesh,Sagar,0.94,4.350717986,388.7813028
Rajasthan,Ajmer,0.9,12.16231806,297.7098409
Haryana,Karnal,0.83,2.102537394,153.5881976
Uttar Pradesh,Moradabad,0.92,47.11628611,71.91944017
Uttar Pradesh,Kanpur Dehat,0.9,9.816755967,156.9995056
Uttar Pradesh,Kaushambi,0.93,13.77991693,105.651677
Rajasthan,Jhunjhunun,0.84,10.67726697,265.7875712
Gujarat,Sabar Kantha,0.92,6.11725574,292.1861212
Uttar Pradesh,Muzaffarnagar,0.87,41.30440554,92.98874964
Rajasthan,Sikar,0.85,12.23542234,277.776429
Uttar Pradesh,Ghazipur,0.92,10.16921952,89.77235939
Haryana,Mewat,0.91,79.19547437,137.6159844
Uttar Pradesh,Maharajganj,0.94,17.0838264,111.1854831
Assam,Kamrup Metropolitan,0.95,12.04772485,77.595543
Gujarat,Narmada,0.95,3.828581206,495.3438693
Haryana,Kaithal,0.83,0.766263553,224.4243715
Madhya Pradesh,Jabalpur,0.92,8.267483028,221.2895036
Punjab,Mansa,0.84,1.347838457,299.9671322
Maharashtra,Raigarh,0.94,8.635069471,285.9312125
Uttar Pradesh,Faizabad,0.94,14.80398997,100.8500216
Gujarat,Valsad,0.93,5.51299835,188.253586
Punjab,Jalandhar,0.88,1.378242972,128.829909
Gujarat,Anand,0.9,11.98994622,164.9986023
Uttar Pradesh,Mau,0.94,19.42707238,83.99940525
Uttar Pradesh,Rae Bareli,0.94,12.13436619,146.4076823
Punjab,Fatehgarh Sahib,0.85,2.800572511,213.1087721
Punjab,Shahid Bhagat Singh Nagar,0.9,1.115284741,227.6624586
Haryana,Palwal,0.87,20.00234006,142.0340114
Haryana,Kurukshetra,0.82,1.655514148,174.7775111
Uttar Pradesh,Bareilly,0.91,34.54159163,102.622113
Uttar Pradesh,Sant Ravi Das Nagar(bhadohi),0.92,12.91885189,71.59996781
Haryana,Ambala,0.82,1.962423007,157.1320955
Gujarat,Kheda,0.91,11.49979238,194.8358287
Punjab,Rupnagar,0.88,2.116773075,225.9624584
Madhya Pradesh,Gwalior,0.85,6.975024065,259.0997404
Haryana,Hisar,0.86,1.241448199,267.4991155
Punjab,Patiala,0.84,2.112322399,216.1750416
Uttar Pradesh,Sultanpur,0.94,17.12512414,145.2154358
Rajasthan,Alwar,0.87,14.89679735,283.6552057
Uttar Pradesh,Kannauj,0.91,16.53774924,157.7915461
Rajasthan,Dausa,0.86,2.783146691,262.6025677
West Bengal,Hugli,0.95,15.76700739,71.91331266
Uttar Pradesh,Etawah,0.88,7.204468299,184.3457811
Uttar Pradesh,Gorakhpur,0.92,9.093820052,94.89078215
Uttar Pradesh,Mainpuri,0.9,5.390497017,189.0792169
Uttarakhand,Hardwar,0.88,34.28435556,161.6570268
Manipur,Thoubal,0.93,25.42186997,157.993974
Uttar Pradesh,Bara Banki,0.95,22.60576643,176.0972111
Haryana,Sonipat,0.8,3.110342683,191.2412474
Goa,North Goa,0.94,7.083182561,283.3713118
Punjab,Ludhiana,0.87,2.221171685,139.0500978
Uttar Pradesh,Pratapgarh,0.93,14.09704341,165.7452882
Uttar Pradesh,Etah,0.89,8.247261169,196.1137911
Gujarat,Vadodara,0.9,9.232201835,260.0569518
Madhya Pradesh,Neemuch,0.94,8.149944254,743.5232251
Gujarat,Navsari,0.93,5.916421493,248.3319195
Uttar Pradesh,Firozabad,0.89,12.60177507,143.0655251
Haryana,Jhajjar,0.79,0.860492172,288.3958243
Gujarat,Tapi,0.96,2.764360823,589.5750054
Punjab,Hoshiarpur,0.87,1.455227291,324.3362483
Uttar Pradesh,Deoria,0.93,11.56224584,127.6707173
Haryana,Panchkula,0.87,4.178031794,257.6194608
Uttar Pradesh,Meerut,0.86,34.4294447,123.9949368
Gujarat,Ahmadabad,0.87,12.24300601,192.2451823
Manipur,Imphal West,0.95,4.690806036,172.0103785
Uttar Pradesh,Jaunpur,0.93,10.76386386,157.4694874
Rajasthan,Jaipur,0.87,10.37478921,306.3304366
Haryana,Mahendragarh,0.78,0.613824277,376.7536287
Uttar Pradesh,Mathura,0.88,8.516581448,239.9119969
Rajasthan,Kota,0.91,12.50595844,490.5141634
Gujarat,Gandhinagar,0.87,4.115169861,288.4850976
Haryana,Gurgaon,0.84,4.677793391,156.4282847
Maharashtra,Thane,0.93,12.25688843,174.3828383
Dadara & Nagar Havelli,Dadra & Nagar Haveli,0.93,3.759575688,292.1075677
West Bengal,North 24 Parganas,0.96,25.82158391,91.1308649
Uttar Pradesh,Aligarh,0.89,19.85043642,233.812181
Bihar,Patna,0.92,7.535405282,138.7693512
West Bengal,Uttar Dinajpur,0.95,49.92028955,274.3808557
Telangana,Rangareddy,0.93,11.65845187,379.6107833
Uttar Pradesh,Gautam Buddha Nagar,0.85,13.07554388,217.4605534
Uttar Pradesh,Agra,0.87,9.308257428,284.3534111
Madhya Pradesh,Bhopal,0.92,22.16029027,391.4281412
Jammu & Kashmir,Ganderbal,0.84,97.69201805,322.4114629
Uttar Pradesh,Varanasi,0.9,14.87654756,154.7252111
West Bengal,Haora,0.97,26.19862685,117.504452
Uttar Pradesh,Allahabad,0.9,13.3809822,383.2465822
Madhya Pradesh,Indore,0.91,12.66952666,513.016614
Puducherry,Mahe,0.98,30.74421274,93.2657356
Punjab,Sahibzada Ajit Singh Nagar,0.85,2.964726511,479.6768239
Jammu & Kashmir,Srinagar,0.85,95.1903618,699.0457048
Haryana,Faridabad,0.85,8.933914561,194.6696004
Puducherry,Puducherry,0.97,3.438322447,157.1101002
Haryana,Panipat,0.84,7.185941696,575.2270753
Karnataka,Bangalore,0.95,12.97393736,159.3610012
Uttar Pradesh,Lucknow,0.92,21.46197753,394.7633882
Gujarat,Surat,0.84,10.86559797,644.4322468
NCT of Delhi,South West,0.85,4.914656091,163.7622669
Daman & Diu,Daman,0.91,8.414891224,378.191481
Uttar Pradesh,Ghaziabad,0.86,25.34955128,263.3262454
NCT of Delhi,North West,0.87,7.967370237,134.0885466
Uttar Pradesh,Kanpur Nagar,0.88,15.73057939,1816.091091
NCT of Delhi,South,0.9,16.32231292,311.3184859
Chandigarh,Chandigarh,0.89,4.874413757,392.155005
NCT of Delhi,North East,0.89,29.33520519,108.8496554
NCT of Delhi,West,0.88,5.890392699,202.8905614
Maharashtra,Mumbai Suburban,0.92,19.19199843,203.8802765
NCT of Delhi,East,0.88,10.46055041,187.6741163
NCT of Delhi,New Delhi,0.89,5.97166277,1439.396073
Telangana,Hyderabad,0.91,43.45079011,454.0079522
Tamil Nadu,Chennai,0.95,9.453310413,359.0049953
NCT of Delhi,North,0.88,13.49042431,912.6352229
Maharashtra,Mumbai,0.92,25.05899538,1242.589723
West Bengal,Kolkata,0.93,20.60211346,1552.207021
NCT of Delhi,Central,0.92,33.36275587,1538.157714
Arunanchal Pradesh,Dibang Valley,0.83,1.386806597,
Lakshadweep,Lakshadweep,0.91,96.57996371,
Nagaland,Kiphire,0.95,0.762120966,
Arunanchal Pradesh,Upper Siang,0.98,1.163646659,
Mizoram,Kolasib,0.99,5.271871836,
