sub_name,pc,party,age,category,color,electors,name,polled_votes,rank,sex,state,votes,year,poll_date,education,gender,assets,criminal_cases
mallikarjunkharge,Gulbarga,Indian National Congress,72,GEN,#019733,,MALLIKARJUN KHARGE,997638,1,,Karnataka,507193,2014,17-04-2014,Graduate Professional,Male,102220880,0
bvnayak,Raichur,Indian National Congress,48,GEN,#019733,,B.V.NAYAK,968889,1,,Karnataka,443659,2014,17-04-2014,Graduate Professional,Male,73502466,0
bhagwanthkhuba,Bidar,Bharatiya Janata Party,,,#FB7B0D,,BHAGWANTH KHUBA,959384,1,,Karnataka,459290,2014,,,,,
karadisangannaamarappa,Koppal,Bharatiya Janata Party,,,#FB7B0D,,KARADI SANGANNA AMARAPPA,1006508,1,,Karnataka,486383,2014,,,,,
bsreeramulu,Bellary,Bharatiya Janata Party,43,GEN,#FB7B0D,,B. SREERAMULU,1045772,1,,Karnataka,534406,2014,17-04-2014,Graduate,Male,151392844,8
udasishivakumarchannabasappa,Haveri,Bharatiya Janata Party,47,GEN,#FB7B0D,,UDASI SHIVAKUMAR CHANNABASAPPA,1115968,1,,Karnataka,566790,2014,17-04-2014,Graduate Professional,Male,576693538,0
pralhadjoshi,Dharwad,Bharatiya Janata Party,51,GEN,#FB7B0D,,PRALHAD JOSHI,1041226,1,,Karnataka,545395,2014,17-04-2014,Graduate,Male,41979658,1
anantkumarhegde,Uttara Kannada,Bharatiya Janata Party,46,GEN,#FB7B0D,,ANANTKUMAR HEGDE,1001038,1,,Karnataka,546939,2014,17-04-2014,12th,Male,32367360,0
gmsiddeshwara,Davanagere,Bharatiya Janata Party,61,GEN,#FB7B0D,,G M SIDDESHWARA,1114868,1,,Karnataka,518894,2014,17-04-2014,10th,Male,232375703,0
bsyeddyurappa,Shimoga,Bharatiya Janata Party,71,GEN,#FB7B0D,,B. S. YEDDYURAPPA,1129008,1,,Karnataka,606216,2014,17-04-2014,12th,Male,69746267,9
shobhakarandlaje,Udupi Chikmagalur,Bharatiya Janata Party,47,GEN,#FB7B0D,,SHOBHA KARANDLAJE,1034108,1,,Karnataka,581168,2014,17-04-2014,Post Graduate,Female,72089452,0
hddevegowda,Hassan,Janata Dal  (Secular),81,GEN,#8064a2,,H.D. DEVEGOWDA,1147172,1,,Karnataka,509841,2014,17-04-2014,Graduate Professional,Male,42721242,0
nalinkumarkateel,Dakshina Kannada,Bharatiya Janata Party,,,#FB7B0D,,NALIN KUMAR KATEEL,1207474,1,,Karnataka,642739,2014,,,,,
bnchandrappa,Chitradurga,Indian National Congress,58,GEN,#019733,,B.N.CHANDRAPPA,1096499,1,,Karnataka,467511,2014,17-04-2014,Post Graduate,Male,48303759,0
muddahanumegowdasp,Tumkur,Indian National Congress,,,#019733,,MUDDAHANUMEGOWDA.S.P.,1101484,1,,Karnataka,429868,2014,,,,,
csputtaraju,Mandya,Janata Dal  (Secular),50,GEN,#8064a2,,C.S.PUTTARAJU,1192638,1,,Karnataka,524370,2014,17-04-2014,12th,Male,45209196,0
prathapsimha,Mysore,Bharatiya Janata Party,37,GEN,#FB7B0D,,PRATHAP SIMHA,1159594,1,,Karnataka,503908,2014,17-04-2014,Post Graduate,Male,6321591,0
rdhruvanarayana,Chamarajanagar,Indian National Congress,53,GEN,#019733,,R. DHRUVANARAYANA,1133029,1,,Karnataka,567782,2014,17-04-2014,Graduate,Male,31519950,0
dksuresh,Bangalore Rural,Indian National Congress,47,GEN,#019733,,D K SURESH,1455244,1,,Karnataka,652723,2014,17-04-2014,12th,Male,858713138,7
dvsadanandagowda,Bangalore North,Bharatiya Janata Party,61,GEN,#FB7B0D,,D.V SADANANDA GOWDA,1356718,1,,Karnataka,718326,2014,17-04-2014,Graduate Professional,Male,98888874,0
pcmohan,Bangalore Central,Bharatiya Janata Party,50,GEN,#FB7B0D,,P.C. MOHAN,1074589,1,,Karnataka,557130,2014,17-04-2014,12th,Male,475796999,2
ananthkumar,Bangalore South,Bharatiya Janata Party,54,GEN,#FB7B0D,,ANANTH KUMAR,1113726,1,,Karnataka,633816,2014,17-04-2014,Graduate Professional,Male,45224706,0
mveerappamoily,Chikkballapur,Indian National Congress,74,GEN,#019733,,M VEERAPPA MOILY,1263274,1,,Karnataka,424800,2014,17-04-2014,Graduate Professional,Male,137366682,0
khmuniyappa,Kolar,Indian National Congress,67,GEN,#019733,,K.H.MUNIYAPPA,1127323,1,,Karnataka,418926,2014,17-04-2014,Graduate Professional,Male,184663000,0
pkarunakaran,Kasaragod,Communist Party of India  (Marxist),69,GEN,#DE0000,,P KARUNAKARAN,974215,1,,Kerala,384964,2014,10-04-2014,Post Graduate,Male,5900345,6
pksreemathiteacher,Kannur,Communist Party of India  (Marxist),,,#DE0000,,P K SREEMATHI TEACHER,947117,1,,Kerala,427622,2014,,,,,
mullappallyramachandran,Vadakara,Indian National Congress,67,GEN,#019733,,MULLAPPALLY RAMACHANDRAN,959342,1,,Kerala,416479,2014,10-04-2014,Post Graduate,Male,9225000,0
mishanavas,Wayanad,Indian National Congress,62,GEN,#019733,,M I SHANAVAS,915006,1,,Kerala,377035,2014,10-04-2014,Post Graduate,Male,27122055,0
mkraghavan,Kozhikode,Indian National Congress,61,GEN,#019733,,M .K RAGHAVAN,943009,1,,Kerala,397615,2014,10-04-2014,Graduate,Male,6164901,0
eahamed,Malappuram,Indian Union Muslim League,76,GEN,#999,,E. AHAMED,853467,1,,Kerala,437723,2014,10-04-2014,Graduate Professional,Male,11818952,1
etmohammedbasheer,Ponnani,Indian Union Muslim League,67,GEN,#999,,E. T. MOHAMMED BASHEER,871592,1,,Kerala,378503,2014,10-04-2014,12th,Male,13216259,0
mbrajesh,Palakkad,Communist Party of India  (Marxist),43,GEN,#DE0000,,M B RAJESH,910322,1,,Kerala,412897,2014,10-04-2014,Graduate Professional,Male,4676316,11
pkbiju,Alathur,Communist Party of India  (Marxist),39,GEN,#DE0000,,P.K.BIJU,927228,1,,Kerala,411808,2014,10-04-2014,Post Graduate,Male,3231047,0
cnjayadevan,Thrissur,Communist Party of India,63,GEN,#DE0000,,C. N. JAYADEVAN,920505,1,,Kerala,389209,2014,10-04-2014,Post Graduate,Male,20041642,3
innocent,Chalakudy,Independent,66,GEN,#95b3d7,,INNOCENT,884033,1,,Kerala,358440,2014,10-04-2014,8th,Male,54474761,0
profkvthomas,Ernakulam,Indian National Congress,,,#019733,,PROF. K.V. THOMAS,850834,1,,Kerala,353841,2014,,,,,
advjoicegeorge,Idukki,Independent,44,GEN,#95b3d7,,ADV.JOICE GEORGE,819766,1,,Kerala,382019,2014,10-04-2014,Graduate Professional,Male,17396207,4
josekmani,Kottayam,Kerala Congress  (M),49,GEN,#999,,JOSE K. MANI,831636,1,,Kerala,424194,2014,10-04-2014,Post Graduate,Male,26236371,0
kcvenugopal,Alappuzha,Indian National Congress,51,GEN,#019733,,K C VENUGOPAL,997464,1,,Kerala,462525,2014,10-04-2014,Post Graduate,Male,12856075,0
kodikunnilsuresh,Mavelikkara,Indian National Congress,52,GEN,#019733,,KODIKUNNIL SURESH,889060,1,,Kerala,402432,2014,10-04-2014,Graduate Professional,Male,13251330,1
antoantony,Pathanamthitta,Indian National Congress,57,GEN,#019733,,ANTO ANTONY,869452,1,,Kerala,358842,2014,10-04-2014,Graduate,Male,5410884,0
nkpremachandran,Kollam,Revolutionary Socialist Party,53,GEN,#999,,N.K.PREMACHANDRAN,879056,1,,Kerala,408528,2014,10-04-2014,Graduate Professional,Male,16228989,1
drasampath,Attingal,Communist Party of India  (Marxist),,,#DE0000,,DR.A .SAMPATH,859350,1,,Kerala,392478,2014,,,,,
drshashitharoor,Thiruvananthapuram,Indian National Congress,58,GEN,#019733,,DR. SHASHI THAROOR,873439,1,,Kerala,297806,2014,10-04-2014,Doctorate,Male,230275186,0
anoopmishra,Morena,Bharatiya Janata Party,57,GEN,#FB7B0D,,ANOOP MISHRA,854279,1,,Madhya Pradesh,375567,2014,17-04-2014,12th,Male,110523112,0
drbhagirathprasad,Bhind,Bharatiya Janata Party,,,#FB7B0D,,DR. BHAGIRATH PRASAD,729084,1,,Madhya Pradesh,404474,2014,,,,,
narendrasinghtomar,Gwalior,Bharatiya Janata Party,56,GEN,#FB7B0D,,NARENDRA SINGH TOMAR,990912,1,,Madhya Pradesh,442796,2014,17-04-2014,Graduate,Male,11412622,1
jyotiradityamscindia,Guna,Indian National Congress,43,GEN,#019733,,JYOTIRADITYA M SCINDIA,976629,1,,Madhya Pradesh,517036,2014,17-04-2014,Post Graduate,Male,330888751,0
laxminarayanyadav,Sagar,Bharatiya Janata Party,73,GEN,#FB7B0D,,LAXMI NARAYAN YADAV,891929,1,,Madhya Pradesh,482580,2014,17-04-2014,Post Graduate,Male,23962099,1
drvirendrakumar,Tikamgarh,Bharatiya Janata Party,60,GEN,#FB7B0D,,DR. VIRENDRA KUMAR,766321,1,,Madhya Pradesh,422979,2014,17-04-2014,Doctorate,Male,8764635,0
prahaladsinghpatel,Damoh,Bharatiya Janata Party,,,#FB7B0D,,PRAHALAD SINGH PATEL,912080,1,,Madhya Pradesh,513079,2014,,,,,
nagendrasingh,Khajuraho,Bharatiya Janata Party,72,GEN,#FB7B0D,,NAGENDRA SINGH,874477,1,,Madhya Pradesh,474966,2014,17-04-2014,Graduate,Male,44538002,0
ganeshsingh,Satna,Bharatiya Janata Party,51,GEN,#FB7B0D,,GANESH SINGH,913444,1,,Madhya Pradesh,375288,2014,10-04-2014,Post Graduate,Male,37800000,2
janardanmishra,Rewa,Bharatiya Janata Party,58,GEN,#FB7B0D,,JANARDAN MISHRA,830002,1,,Madhya Pradesh,383320,2014,10-04-2014,Graduate Professional,Male,10156568,0
ritipathak,Sidhi,Bharatiya Janata Party,36,GEN,#FB7B0D,,RITI PATHAK,989396,1,,Madhya Pradesh,475678,2014,10-04-2014,Post Graduate,Female,33416561,0
dalpatsinghparaste,Shahdol,Bharatiya Janata Party,61,GEN,#FB7B0D,,DALPAT SINGH PARASTE,968518,1,,Madhya Pradesh,525419,2014,10-04-2014,Graduate Professional,Male,5524870,0
rakeshsingh,Jabalpur,Bharatiya Janata Party,,,#FB7B0D,,RAKESH SINGH,1002184,1,,Madhya Pradesh,564609,2014,,,,,
faggansinghkulaste,Mandla,Bharatiya Janata Party,54,GEN,#FB7B0D,,FAGGAN SINGH KULASTE,1218518,1,,Madhya Pradesh,585720,2014,10-04-2014,Post Graduate,Male,25738420,2
bodhsinghbhagat,Balaghat,Bharatiya Janata Party,57,GEN,#FB7B0D,,BODHSINGH BHAGAT,1113364,1,,Madhya Pradesh,480594,2014,10-04-2014,Graduate,Male,24959436,0
kamalnath,Chhindwara,Indian National Congress,67,GEN,#019733,,KAMAL NATH,1107498,1,,Madhya Pradesh,559755,2014,10-04-2014,Graduate,Male,2069080434,0
udaypratapsingh,Hoshangabad,Bharatiya Janata Party,49,GEN,#FB7B0D,,UDAY PRATAP SINGH,1031175,1,,Madhya Pradesh,669128,2014,10-04-2014,Graduate,Male,133375092,1
sushmaswaraj,Vidisha,Bharatiya Janata Party,62,GEN,#FB7B0D,,SUSHMA SWARAJ,1073473,1,,Madhya Pradesh,714348,2014,24-04-2014,Graduate Professional,Female,175516422,0
aloksanjar,Bhopal,Bharatiya Janata Party,50,GEN,#FB7B0D,,ALOK SANJAR,1130182,1,,Madhya Pradesh,714178,2014,17-04-2014,Graduate Professional,Male,14594066,0
rodmalnagar,Rajgarh,Bharatiya Janata Party,53,GEN,#FB7B0D,,RODMAL NAGAR,1010724,1,,Madhya Pradesh,596727,2014,17-04-2014,Graduate,Male,28569974,0
manoharuntwal,Dewas,Bharatiya Janata Party,47,GEN,#FB7B0D,,MANOHAR UNTWAL,1143968,1,,Madhya Pradesh,665646,2014,24-04-2014,12th,Male,6336490,0
profchintamanimalviya,Ujjain,Bharatiya Janata Party,,,#FB7B0D,,PROF. CHINTAMANI MALVIYA,1016405,1,,Madhya Pradesh,641101,2014,,,,,
sudhirgupta,Mandsour,Bharatiya Janata Party,54,GEN,#FB7B0D,,SUDHIR GUPTA,1161349,1,,Madhya Pradesh,698335,2014,24-04-2014,Post Graduate,Male,57429237,0
dileepsinghbhuria,Ratlam,Bharatiya Janata Party,,,#FB7B0D,,DILEEPSINGH BHURIA,1082681,1,,Madhya Pradesh,545970,2014,,,,,
savitrithakur,Dhar,Bharatiya Janata Party,35,GEN,#FB7B0D,,SAVITRI THAKUR,1076816,1,,Madhya Pradesh,558387,2014,24-04-2014,10th,Female,9606464,0
sumitramahajantai,Indore,Bharatiya Janata Party,,,#FB7B0D,,SUMITRA MAHAJAN (TAI),1316817,1,,Madhya Pradesh,854972,2014,,,,,
subhashpatel,Khargone,Bharatiya Janata Party,36,GEN,#FB7B0D,,SUBHASH PATEL,1152525,1,,Madhya Pradesh,649354,2014,24-04-2014,Post Graduate,Male,36138699,0
nandkumarsinghchouhannandubhaiya,Khandwa,Bharatiya Janata Party,,,#FB7B0D,,NANDKUMAR SINGH CHOUHAN (NANDU BHAIYA),1257327,1,,Madhya Pradesh,717357,2014,,,,,
jyotidhurve,Betul,Bharatiya Janata Party,47,GEN,#FB7B0D,,JYOTI DHURVE,1047719,1,,Madhya Pradesh,643651,2014,24-04-2014,Post Graduate,Female,26232000,2
drgavitheenavaijaykumar,Nandurbar,Bharatiya Janata Party,26,GEN,#FB7B0D,,DR.GAVIT HEENA VAIJAYKUMAR,1116676,1,,Maharashtra,579486,2014,24-04-2014,Graduate Professional,Female,131103963,0
drbhamresubhashramrao,Dhule,Bharatiya Janata Party,,,#FB7B0D,,DR. BHAMRE SUBHASH RAMRAO,983083,1,,Maharashtra,529450,2014,,,,,
atnanapatil,Jalgaon,Bharatiya Janata Party,,,#FB7B0D,,A.T. NANA PATIL,990332,1,,Maharashtra,647773,2014,,,,,
khadaserakshanikhil,Raver,Bharatiya Janata Party,26,GEN,#FB7B0D,,KHADASE RAKSHA NIKHIL,1009213,1,,Maharashtra,605452,2014,24-04-2014,Graduate,Female,144222841,0
jadhavpratapraoganpatrao,Buldhana,Shivsena,53,GEN,#F05A00,,JADHAV PRATAPRAO GANPATRAO,978626,1,,Maharashtra,509145,2014,10-04-2014,12th,Male,36033147,2
dhotresanjayshamrao,Akola,Bharatiya Janata Party,,,#FB7B0D,,DHOTRE SANJAY SHAMRAO,978491,1,,Maharashtra,456472,2014,,,,,
adsulanandraovithoba,Amravati,Shivsena,66,GEN,#F05A00,,ADSUL ANANDRAO VITHOBA,1004061,1,,Maharashtra,467212,2014,10-04-2014,Graduate,Male,32596257,1
ramdaschandrabhanjitadas,Wardha,Bharatiya Janata Party,60,GEN,#FB7B0D,,RAMDAS CHANDRABHANJI TADAS,1013445,1,,Maharashtra,537518,2014,10-04-2014,10th,Male,33628998,5
krupalbalajitumane,Ramtek,Shivsena,48,GEN,#F05A00,,KRUPAL BALAJI TUMANE,1050316,1,,Maharashtra,519892,2014,10-04-2014,Graduate,Male,46564362,1
gadkarinitinjairam,Nagpur,Bharatiya Janata Party,56,GEN,#FB7B0D,,GADKARI NITIN JAIRAM,1085058,1,,Maharashtra,587767,2014,10-04-2014,Graduate Professional,Male,153704475,4
nanabhaufalgunraopatole,Bhandara - Gondiya,Bharatiya Janata Party,51,GEN,#FB7B0D,,NANABHAU FALGUNRAO PATOLE,1197196,1,,Maharashtra,606129,2014,10-04-2014,12th,Male,12738190,5
ashokmahadeoraonete,Gadchiroli-Chimur,Bharatiya Janata Party,50,GEN,#FB7B0D,,ASHOK MAHADEORAO NETE,1027129,1,,Maharashtra,535982,2014,10-04-2014,12th,Male,12125676,0
ahirhansrajgangaram,Chandrapur,Bharatiya Janata Party,59,GEN,#FB7B0D,,AHIR HANSRAJ GANGARAM,1109743,1,,Maharashtra,508049,2014,10-04-2014,10th,Male,15548000,11
gawalibhavanapundlikrao,Yavatmal-Washim,Shivsena,41,GEN,#F05A00,,GAWALI BHAVANA PUNDLIKRAO,1032949,1,,Maharashtra,477905,2014,10-04-2014,Graduate,Female,60886040,4
rajeevshankarraosatav,Hingoli,Indian National Congress,39,GEN,#019733,,RAJEEV SHANKARRAO SATAV,1051164,1,,Maharashtra,467397,2014,17-04-2014,Graduate Professional,Male,49681499,0
ashokshankarraochavan,Nanded,Indian National Congress,,,#019733,,ASHOK SHANKARRAO CHAVAN,1013350,1,,Maharashtra,493075,2014,,,,,
jadhavsanjaybanduharibhau,Parbhani,Shivsena,47,GEN,#F05A00,,JADHAV SANJAY (BANDU) HARIBHAU,1162233,1,,Maharashtra,578455,2014,17-04-2014,10th,Male,31016711,7
danveraosahebdadarao,Jalna,Bharatiya Janata Party,60,GEN,#FB7B0D,,DANVE RAOSAHEB DADARAO,1066259,1,,Maharashtra,591428,2014,24-04-2014,Graduate,Male,184411862,4
chavanharishchandradeoram,Dindori,Bharatiya Janata Party,62,GEN,#FB7B0D,,CHAVAN HARISHCHANDRA DEORAM,970182,1,,Maharashtra,542784,2014,24-04-2014,Graduate,Male,37240147,1
godsehemanttukaram,Nashik,Shivsena,,,#F05A00,,GODSE HEMANT TUKARAM,937405,1,,Maharashtra,494735,2014,,,,,
advchintamannavashawanga,Palghar,Bharatiya Janata Party,,,#FB7B0D,,ADV. CHINTAMAN NAVASHA WANGA,992618,1,,Maharashtra,533201,2014,,,,,
kapilmoreshwarpatil,Bhiwandi,Bharatiya Janata Party,53,GEN,#FB7B0D,,KAPIL MORESHWAR PATIL,875605,1,,Maharashtra,411070,2014,24-04-2014,Graduate,Male,363758831,0
drshrikanteknathshinde,Kalyan,Shivsena,27,GEN,#F05A00,,DR.SHRIKANT EKNATH SHINDE,824196,1,,Maharashtra,440892,2014,24-04-2014,Graduate Professional,Male,998000,0
vicharerajanbaburao,Thane,Shivsena,52,GEN,#F05A00,,VICHARE RAJAN BABURAO,1054189,1,,Maharashtra,595364,2014,24-04-2014,10th,Male,102091612,13
gopalchinayyashetty,Mumbai North,Bharatiya Janata Party,60,GEN,#FB7B0D,,GOPAL CHINAYYA SHETTY,946562,1,,Maharashtra,664004,2014,24-04-2014,5th,Male,95617889,10
gajananchandrakantkirtikar,Mumbai North West,Shivsena,70,GEN,#F05A00,,GAJANAN CHANDRAKANT KIRTIKAR,895517,1,,Maharashtra,464820,2014,24-04-2014,Graduate,Male,58352000,0
kiritsomaiya,Mumbai North East,Bharatiya Janata Party,60,GEN,#FB7B0D,,KIRIT  SOMAIYA,861761,1,,Maharashtra,525285,2014,24-04-2014,Doctorate,Male,72156258,10
poonammahajanaliaspoonamvajendlarao,Mumbai North Central,Bharatiya Janata Party,33,GEN,#FB7B0D,,POONAM MAHAJAN ALIAS POONAM VAJENDLA RAO,845292,1,,Maharashtra,478535,2014,24-04-2014,Others,Female,1080867626,0
rahulrameshshewale,Mumbai South Central,Shivsena,,,#F05A00,,RAHUL RAMESH SHEWALE,769060,1,,Maharashtra,381275,2014,,,,,
arvindsawant,Mumbai   South,Shivsena,,,#F05A00,,ARVIND SAWANT,780715,1,,Maharashtra,374780,2014,,,,,
anantgeete,Raigad,Shivsena,,,#F05A00,,ANANT GEETE,987766,1,,Maharashtra,396178,2014,,,,,
appaaliasshrirangchandubarne,Maval,Shivsena,,,#F05A00,,APPA ALIAS SHRIRANG CHANDU BARNE,1174335,1,,Maharashtra,512226,2014,,,,,
anilshirole,Pune,Bharatiya Janata Party,63,GEN,#FB7B0D,,ANIL SHIROLE,993274,1,,Maharashtra,569825,2014,17-04-2014,Graduate,Male,227615279,2
supriyasule,Baramati,Nationalist Congress Party,44,GEN,#999,,SUPRIYA SULE,1066556,1,,Maharashtra,521562,2014,17-04-2014,Graduate,Female,1139090851,0
adhalraoshivajidattatrey,Shirur,Shivsena,59,GEN,#F05A00,,ADHALRAO SHIVAJI DATTATREY,1089506,1,,Maharashtra,643415,2014,17-04-2014,Post Graduate,Male,253598315,10
gandhidilipkumarmansukhlal,Ahmadnagar,Bharatiya Janata Party,64,GEN,#FB7B0D,,GANDHI DILIPKUMAR MANSUKHLAL,1062318,1,,Maharashtra,605185,2014,17-04-2014,10th,Male,65316725,10
lokhandesadashivkisan,Shirdi,Shivsena,51,GEN,#F05A00,,LOKHANDE SADASHIV KISAN,932645,1,,Maharashtra,532936,2014,17-04-2014,10th,Male,38294539,1
mundegopinathraopandurang,Beed,Bharatiya Janata Party,66,GEN,#FB7B0D,,MUNDE GOPINATHRAO PANDURANG,1232202,1,,Maharashtra,635995,2014,17-04-2014,Graduate Professional,Male,380072890,3
gaikwadravindravishwanath,Osmanabad,Shivsena,54,GEN,#F05A00,,GAIKWAD RAVINDRA VISHWANATH,1118151,1,,Maharashtra,607699,2014,17-04-2014,Post Graduate,Male,32852793,8
drsunilbaliramgaikwad,Latur,Bharatiya Janata Party,,,#FB7B0D,,DR. SUNIL BALIRAM GAIKWAD,1057156,1,,Maharashtra,616509,2014,,,,,
sharadbansode,Solapur,Bharatiya Janata Party,46,GEN,#FB7B0D,,SHARAD BANSODE,951201,1,,Maharashtra,517879,2014,17-04-2014,Graduate Professional,Male,60152887,1
mohitepatilvijaysinhshankarrao,Madha,Nationalist Congress Party,69,GEN,#999,,MOHITE PATIL VIJAYSINH SHANKARRAO,1079619,1,,Maharashtra,489989,2014,17-04-2014,10th,Male,170253390,1
sanjaykakapatil,Sangli,Bharatiya Janata Party,49,GEN,#FB7B0D,,SANJAYKAKA PATIL,1046659,1,,Maharashtra,611563,2014,17-04-2014,10th,Male,108791027,0
shrimantchhudayanrajepratapsinhabhonsale,Satara,Nationalist Congress Party,-,-,#999,,SHRIMANT CHH.  UDAYANRAJE PRATAPSINHA BHONSALE,976681,1,,Maharashtra,522531,2014,17-04-2014,-, -,-,-
vinayakbhauraoraut,Ratnagiri - Sindhudurg,Shivsena,60,GEN,#F05A00,,VINAYAK BHAURAO RAUT,896256,1,,Maharashtra,493088,2014,17-04-2014,Post Graduate,Male,44568629,5
dhananjaybhimraomahadik,Kolhapur,Nationalist Congress Party,42,GEN,#999,,DHANANJAY BHIMRAO MAHADIK,1260289,1,,Maharashtra,607665,2014,17-04-2014,Graduate,Male,448882000,1
rajushetty,Hatkanangle,Swabhimani Paksha,46,GEN,#999,,RAJU SHETTY,1188871,1,,Maharashtra,640428,2014,17-04-2014,10th,Male,16152914,12
drthokchommeinya,Inner Manipur,Indian National Congress,69,GEN,#019733,,DR. THOKCHOM MEINYA,640871,1,,Manipur,292102,2014,17-04-2014,Doctorate,Male,3825200,0
thangsobaite,Outer Manipur,Indian National Congress,61,GEN,#019733,,THANGSO BAITE,771766,1,,Manipur,296770,2014,09-04-2014,Post Graduate,Male,5947000,0
vincenthpala,Shillong,Indian National Congress,46,GEN,#019733,,VINCENT H. PALA,619987,1,,Meghalaya,209340,2014,09-04-2014,Graduate Professional,Male,497108058,0
purnoagitoksangma,Tura,National Peoples Party,66,GEN,#999,,PURNO AGITOK SANGMA,458071,1,,Meghalaya,239301,2014,09-04-2014,Post Graduate,Male,215134618,0
clruala,Mizoram,Indian National Congress,78,GEN,#019733,,C. L. RUALA,433201,1,,Mizoram,210485,2014,11-04-2014,Graduate,Male,25733421,0
neiphiurio,Nagaland,Naga Peoples Front,63,GEN,#999,,NEIPHIU RIO,1038910,1,,Nagaland,713372,2014,09-04-2014,Graduate,Male,315834264,0
prabhaskumarsingh,Bargarh,Biju Janata Dal,50,GEN,#000000,,PRABHAS KUMAR SINGH,1123301,1,,Odisha,383230,2014,10-04-2014,Doctorate,Male,5786971,0
jual@jueloram,Sundargarh,Bharatiya Janata Party,,,#FB7B0D,,JUAL @ JUEL ORAM,1010711,1,,Odisha,340508,2014,,,,,
nagendrakumarpradhan,Sambalpur,Biju Janata Dal,61,GEN,#000000,,NAGENDRA KUMAR PRADHAN,984309,1,,Odisha,358618,2014,10-04-2014,Post Graduate,Male,12796623,0
sakuntalalaguri,Keonjhar,Biju Janata Dal,34,GEN,#000000,,SAKUNTALA LAGURI,1083869,1,,Odisha,434471,2014,17-04-2014,10th,Female,101531625,0
ramachandrahansdah,Mayurbhanj,Biju Janata Dal,39,GEN,#000000,,RAMA CHANDRA HANSDAH,1053399,1,,Odisha,393779,2014,17-04-2014,Graduate,Male,3630888,0
rabindrakumarjena,Balasore,Biju Janata Dal,46,GEN,#000000,,RABINDRA KUMAR JENA,1049450,1,,Odisha,433768,2014,17-04-2014,Post Graduate,Male,570139716,0
arjuncharansethi,Bhadrak,Biju Janata Dal,73,GEN,#000000,,ARJUN CHARAN SETHI,1081339,1,,Odisha,502338,2014,17-04-2014,Post Graduate,Male,6730000,0
ritatarai,Jajpur,Biju Janata Dal,37,GEN,#000000,,RITA TARAI,980435,1,,Odisha,541349,2014,17-04-2014,12th,Female,1622003,0
tathagatasatpathy,Dhenkanal,Biju Janata Dal,57,GEN,#000000,,TATHAGATA SATPATHY,1042101,1,,Odisha,453277,2014,17-04-2014,Others,Male,35434099,7
kalikeshnarayansinghdeo,Bolangir,Biju Janata Dal,39,GEN,#000000,,KALIKESH NARAYAN SINGH DEO,1170405,1,,Odisha,453519,2014,10-04-2014,Graduate,Male,87955818,3
arkakesharideo,Kalahandi,Biju Janata Dal,35,GEN,#000000,,ARKA KESHARI DEO,1117536,1,,Odisha,370871,2014,10-04-2014,Graduate,Male,69822063,0
balabhadramajhi,Nabarangpur,Biju Janata Dal,53,GEN,#000000,,BALABHADRA MAJHI,1022172,1,,Odisha,373887,2014,10-04-2014,Graduate,Male,52977088,0
hemendrachandrasingh,Kandhamal,Biju Janata Dal,46,GEN,#000000,,HEMENDRA CHANDRA SINGH,839415,1,,Odisha,421458,2014,10-04-2014,Graduate,Male,503907437,2
bhartruharimahatab,Cuttack,Biju Janata Dal,57,GEN,#000000,,BHARTRUHARI MAHATAB,978604,1,,Odisha,526085,2014,17-04-2014,Post Graduate,Male,88834098,0
baijayantpanda,Kendrapara,Biju Janata Dal,,,#000000,,BAIJAYANT PANDA,1140999,1,,Odisha,601574,2014,,,,,
kulamanisamal,Jagatsinghpur,Biju Janata Dal,65,GEN,#000000,,KULAMANI SAMAL,1131932,1,,Odisha,624492,2014,17-04-2014,Graduate Professional,Male,25158570,0
pinakimisra,Puri,Biju Janata Dal,,,#000000,,PINAKI MISRA,1039389,1,,Odisha,523161,2014,,,,,
prasannakumarpatasani,Bhubaneswar,Biju Janata Dal,,,#000000,,PRASANNA KUMAR PATASANI,891822,1,,Odisha,439252,2014,,,,,
ladukishoreswain,Aska,Biju Janata Dal,66,GEN,#000000,,LADU KISHORE SWAIN,896281,1,,Odisha,541473,2014,10-04-2014,Graduate,Male,3488390,0
sidhantmohapatra,Berhampur,Biju Janata Dal,47,GEN,#000000,,SIDHANT MOHAPATRA,905362,1,,Odisha,398107,2014,10-04-2014,Post Graduate,Male,16462430,0
jhinahikaka,Koraput,Biju Janata Dal,39,GEN,#000000,,JHINA HIKAKA,989444,1,,Odisha,395109,2014,10-04-2014,Graduate,Male,8800000,0
vinodkhanna,Gurdaspur,Bharatiya Janata Party,68,GEN,#FB7B0D,,VINOD KHANNA,1042699,1,,Punjab,482255,2014,30-04-2014,Graduate,Male,669343376,0
captainamarindersingh,Amritsar,Indian National Congress,72,GEN,#019733,,CAPTAIN AMARINDER SINGH,1007196,1,,Punjab,482876,2014,30-04-2014,Graduate,Male,863564071,3
ranjitsinghbrahmpura,Khadoor Sahib,Shiromani Akali Dal,76,GEN,#999,,RANJIT SINGH BRAHMPURA,1040518,1,,Punjab,467332,2014,30-04-2014,8th,Male,177814755,0
santokhsinghchaudhary,Jalandhar,Indian National Congress,67,GEN,#019733,,SANTOKH SINGH CHAUDHARY,1040762,1,,Punjab,380479,2014,30-04-2014,Graduate Professional,Male,104040531,0
