state,constituency,party,name,age,category,gender,votes,polled_votes,year,poll_date,education,assets,criminal_cases,color
Karnataka,Gulbarga,Indian National Congress,MALLIKARJUN KHARGE,72,GEN,Male,507193,997638,2014,17-04-2014,Graduate Professional,102220880,0,#019733
Kerala,Alappuzha,Indian National Congress,K C VENUGOPAL,51,GEN,Male,462525,997464,2014,10-04-2014,Post Graduate,12856075,0,#019733
Uttar Pradesh,Aonla,Bharatiya Janata Party,DHARMENDRA KUMAR,49,GEN,Male,409907,995641,2014,17-04-2014,10th,5364652,0,#FB7B0D
Maharashtra,Pune,Bharatiya Janata Party,ANIL SHIROLE,63,GEN,Male,569825,993274,2014,17-04-2014,Graduate,227615279,2,#FB7B0D
Maharashtra,Palghar,Bharatiya Janata Party,ADV. CHINTAMAN NAVASHA WANGA,63,GEN,Male,533201,992618,2014,24-04-2014,Graduate Professional,5809644,0,#FB7B0D
Madhya Pradesh,Gwalior,Bharatiya Janata Party,NARENDRA SINGH TOMAR,56,GEN,Male,442796,990912,2014,17-04-2014,Graduate,11412622,1,#FB7B0D
Tamil Nadu,Kanniyakumari,Bharatiya Janata Party,RADHAKRISHNAN P.,62,GEN,Male,372906,990742,2014,24-04-2014,Graduate Professional,40963269,0,#FB7B0D
Maharashtra,Jalgaon,Bharatiya Janata Party,A.T. NANA PATIL,52,GEN,Male,647773,990332,2014,24-04-2014,Graduate,226180395,0,#FB7B0D
Odisha,Koraput,Biju Janata Dal,JHINA HIKAKA,39,GEN,Male,395109,989444,2014,10-04-2014,Graduate,8800000,0,#000000
Madhya Pradesh,Sidhi,Bharatiya Janata Party,RITI PATHAK,36,GEN,Female,475678,989396,2014,10-04-2014,Post Graduate,33416561,0,#FB7B0D
Tamil Nadu,Tiruchirappalli,All India Anna Dravida Munnetra Kazhagam,KUMAR.P,42,GEN,Male,458478,988250,2014,24-04-2014,Graduate Professional,18522597,0,#9DBC2A
Maharashtra,Raigad,Shivsena,ANANT GEETE,63,GEN,Male,396178,987766,2014,24-04-2014,10th,44466487,0,#F05A00
Uttar Pradesh,Ghazipur,Bharatiya Janata Party,MANOJ SINHA,55,GEN,Male,306929,986673,2014,12-05-2014,Graduate,23376901,0,#FB7B0D
Haryana,Sonipat,Bharatiya Janata Party,RAMESH CHANDER,54,GEN,Male,347203,985637,2014,10-04-2014,Graduate Professional,142840716,0,#FB7B0D
Gujarat,Ahmedabad East,Bharatiya Janata Party,PARESH RAWAL,59,GEN,Male,633582,985525,2014,30-04-2014,12th,795211576,0,#FB7B0D
Tamil Nadu,Cuddalore,All India Anna Dravida Munnetra Kazhagam,ARUNMOZHITHEVAN.A,45,GEN,Male,481429,984538,2014,24-04-2014,Graduate Professional,15765250,9,#9DBC2A
Odisha,Sambalpur,Biju Janata Dal,NAGENDRA KUMAR PRADHAN,61,GEN,Male,358618,984309,2014,10-04-2014,Post Graduate,12796623,0,#000000
Maharashtra,Dhule,Bharatiya Janata Party,DR. BHAMRE SUBHASH RAMRAO,61,GEN,Male,529450,983083,2014,24-04-2014,Graduate Professional,125833320,0,#FB7B0D
Rajasthan,Rajsamand,Bharatiya Janata Party,HARIOM SINGH RATHORE,56,GEN,Male,644794,982119,2014,17-04-2014,Graduate,188310824,0,#FB7B0D
Nct Of Delhi,Chandni Chowk,Bharatiya Janata Party,DR. HARSH VARDHAN,59,GEN,Male,437938,981863,2014,10-04-2014,Post Graduate,28229308,2,#FB7B0D
Uttar Pradesh,Bhadohi,Bharatiya Janata Party,VIRENDRA SINGH,57,GEN,Male,403544,981552,2014,07-05-2014,Graduate,11531458,0,#FB7B0D
Assam,Tezpur,Bharatiya Janata Party,RAM PRASAD SARMAH,58,GEN,Male,446511,980688,2014,07-04-2014,Graduate Professional,6655300,0,#FB7B0D
Uttar Pradesh,Chandauli,Bharatiya Janata Party,DR MAHENDRA NATH PANDEY,57,GEN,Male,414135,980572,2014,12-05-2014,Doctorate,26489505,0,#FB7B0D
Odisha,Jajpur,Biju Janata Dal,RITA TARAI,37,GEN,Female,541349,980435,2014,17-04-2014,12th,1622003,0,#000000
Uttar Pradesh,Shrawasti,Bharatiya Janata Party,DADDAN MISHRA,47,GEN,Male,345964,979638,2014,07-05-2014,Post Graduate,20065527,0,#FB7B0D
Bihar,Pataliputra,Bharatiya Janata Party,RAM KRIPAL YADAV,53,GEN,Male,383262,978649,2014,17-04-2014,Graduate,13989431,1,#FB7B0D
Maharashtra,Buldhana,Shivsena,JADHAV PRATAPRAO GANPATRAO,53,GEN,Male,509145,978626,2014,10-04-2014,12th,36033147,2,#F05A00
Odisha,Cuttack,Biju Janata Dal,BHARTRUHARI MAHATAB,57,GEN,Male,526085,978604,2014,17-04-2014,Post Graduate,88834098,0,#000000
Maharashtra,Akola,Bharatiya Janata Party,DHOTRE SANJAY SHAMRAO,55,GEN,Male,456472,978491,2014,10-04-2014,Graduate Professional,48501735,3,#FB7B0D
Tamil Nadu,Madurai,All India Anna Dravida Munnetra Kazhagam,R.GOPALAKRISHNAN,45,GEN,Male,454167,978346,2014,24-04-2014,Graduate,72503060,0,#9DBC2A
Bihar,Katihar,Nationalist Congress Party,TARIQ ANWAR,63,GEN,Male,431292,977830,2014,24-04-2014,Graduate,104600951,1,#999
Jharkhand,Palamau,Bharatiya Janata Party,VISHNU DAYAL RAM,62,GEN,Male,476513,977323,2014,10-04-2014,Graduate,24753886,0,#FB7B0D
Maharashtra,Satara,Nationalist Congress Party,SHRIMANT CHH.  UDAYANRAJE PRATAPSINHA BHONSALE,48,GEN,Male,522531,976681,2014,17-04-2014,12th,606089208,0,#999
Madhya Pradesh,Guna,Indian National Congress,JYOTIRADITYA M SCINDIA,43,GEN,Male,517036,976629,2014,17-04-2014,Post Graduate,330888751,0,#019733
Bihar,Araria,Rashtriya Janata Dal,TASLEEM UDDIN,72,GEN,Male,407978,975811,2014,24-04-2014,Literate,42368468,4,#999
Tamil Nadu,Vellore,All India Anna Dravida Munnetra Kazhagam,"SENGUTTUVAN, B.",57,GEN,Male,383719,974770,2014,24-04-2014,Post Graduate,9197355,0,#9DBC2A
Kerala,Kasaragod,Communist Party of India  (Marxist),P KARUNAKARAN,69,GEN,Male,384964,974215,2014,10-04-2014,Post Graduate,5900345,6,#DE0000
Bihar,Bhagalpur,Rashtriya Janata Dal,SHAILESH KUMAR URPH BULO MANDAL,38,GEN,Male,367623,974016,2014,24-04-2014,12th,20216734,1,#999
Uttar Pradesh,Hardoi,Bharatiya Janata Party,ANSHUL VERMA,39,GEN,Male,360501,972894,2014,24-04-2014,Post Graduate,30385000,0,#FB7B0D
Uttar Pradesh,Deoria,Bharatiya Janata Party,KALRAJ MISHRA,73,GEN,Male,496500,971557,2014,12-05-2014,Post Graduate,55048193,0,#FB7B0D
Andhra Pradesh,Hyderabad,All India Majlis-E-Ittehadul Muslimeen,ASADUDDIN OWAISI,43,GEN,Male,513868,971421,2014,30-04-2014,Graduate Professional,40611099,4,#999
Uttar Pradesh,Akbarpur,Bharatiya Janata Party,DEVENDRA SINGH @ BHOLE SINGH,60,GEN,Male,481584,971375,2014,24-04-2014,10th,28546617,0,#FB7B0D
Gujarat,Anand,Bharatiya Janata Party,DILIP PATEL,59,GEN,Male,490829,970894,2014,30-04-2014,10th,75998610,4,#FB7B0D
Uttar Pradesh,Farrukhabad,Bharatiya Janata Party,MUKESH RAJPUT,45,GEN,Male,406195,970677,2014,24-04-2014,Graduate Professional,26178100,0,#FB7B0D
Bihar,Supaul,Indian National Congress,RANJEET RANJAN,41,GEN,Female,332927,970528,2014,24-04-2014,12th,81242965,5,#019733
Maharashtra,Dindori,Bharatiya Janata Party,CHAVAN HARISHCHANDRA DEORAM,62,GEN,Male,542784,970182,2014,24-04-2014,Graduate,37240147,1,#FB7B0D
Jharkhand,Giridih,Bharatiya Janata Party,RAVINDRA KUMAR PANDEY,55,GEN,Male,391913,969997,2014,17-04-2014,Graduate,73376970,0,#FB7B0D
Nct Of Delhi,New Delhi,Bharatiya Janata Party,MEENAKASHI LEKHI,46,GEN,Female,453350,969812,2014,10-04-2014,Graduate Professional,349916470,0,#FB7B0D
Karnataka,Raichur,Indian National Congress,B.V.NAYAK,48,GEN,Male,443659,968889,2014,17-04-2014,Graduate Professional,73502466,0,#019733
Madhya Pradesh,Shahdol,Bharatiya Janata Party,DALPAT SINGH PARASTE,61,GEN,Male,525419,968518,2014,10-04-2014,Graduate Professional,5524870,0,#FB7B0D
Uttar Pradesh,Fatehpur Sikri,Bharatiya Janata Party,BABULAL,66,GEN,Male,426589,967968,2014,24-04-2014,12th,73028848,3,#FB7B0D
Jharkhand,Hazaribagh,Bharatiya Janata Party,JAYANT SINHA,50,GEN,Male,406931,967152,2014,17-04-2014,Post Graduate,556754579,0,#FB7B0D
Karnataka,Bijapur,Bharatiya Janata Party,RAMESH JIGAJINAGI,64,GEN,Male,471757,966757,2014,17-04-2014,Graduate,89429828,2,#FB7B0D
Uttar Pradesh,Sultanpur,Bharatiya Janata Party,FEROZE VARUN GANDHI,34,GEN,Male,410348,964981,2014,07-05-2014,Post Graduate,357318699,0,#FB7B0D
Gujarat,Ahmedabad West,Bharatiya Janata Party,DR. KIRIT P SOLANKI,64,GEN,Male,617104,964609,2014,30-04-2014,Post Graduate,34085266,0,#FB7B0D
Rajasthan,Bharatpur,Bharatiya Janata Party,BAHADUR SINGH,56,GEN,Male,579825,962432,2014,24-04-2014,Literate,19142363,0,#FB7B0D
Tamil Nadu,Tirunelveli,All India Anna Dravida Munnetra Kazhagam,PRABAKARAN.K.R.P,34,GEN,Male,398139,962330,2014,24-04-2014,Graduate Professional,2764500,0,#9DBC2A
Punjab,Hoshiarpur,Bharatiya Janata Party,VIJAY SAMPLA,52,GEN,Male,346643,961297,2014,30-04-2014,10th,15164322,0,#FB7B0D
Uttar Pradesh,Phulpur,Bharatiya Janata Party,KESHAV PRASAD MAURYA,47,GEN,Male,503564,960341,2014,07-05-2014,Graduate,93244143,11,#FB7B0D
Uttar Pradesh,Azamgarh,Samajwadi Party,MULAYAM SINGH YADAV,74,GEN,Male,340306,960218,2014,12-05-2014,Post Graduate,159671544,0,#B15928
Karnataka,Bidar,Bharatiya Janata Party,BHAGWANTH KHUBA,46,GEN,Male,459290,959384,2014,17-04-2014,Graduate Professional,56559290,0,#FB7B0D
Kerala,Vadakara,Indian National Congress,MULLAPPALLY RAMACHANDRAN,67,GEN,Male,416479,959342,2014,10-04-2014,Post Graduate,9225000,0,#019733
Uttar Pradesh,Rampur,Bharatiya Janata Party,DR. NEPAL SINGH,74,GEN,Male,358616,956389,2014,17-04-2014,Doctorate,27136042,0,#FB7B0D
Gujarat,Kheda,Bharatiya Janata Party,CHAUHAN DEVUSINH JESINGBHAI (CHAUHAN DEVUSINH),49,GEN,Male,568235,955906,2014,30-04-2014,12th,9426376,0,#FB7B0D
Gujarat,Patan,Bharatiya Janata Party,LILADHARBHAI KHODAJI VAGHELA,80,GEN,Male,518538,955799,2014,30-04-2014,Graduate Professional,15384027,0,#FB7B0D
West Bengal,Kolkata Uttar,All India Trinamool Congress,SUDIP BANDYOPADHYAY,62,GEN,Male,343687,955778,2014,12-05-2014,Graduate,22086278,1,#0C6965
Jharkhand,Rajmahal,Jharkhand Mukti Morcha,VIJAY KUMAR HANSDAK,31,GEN,Male,379507,951563,2014,24-04-2014,5th,6863306,1,#999
Maharashtra,Solapur,Bharatiya Janata Party,SHARAD BANSODE,46,GEN,Male,517879,951201,2014,17-04-2014,Graduate Professional,60152887,1,#FB7B0D
Tripura,Tripura East,Communist Party of India  (Marxist),JITENDRA CHOUDHURY,57,GEN,Male,623771,951110,2014,12-04-2014,12th,11322979,0,#DE0000
Uttar Pradesh,Kushi Nagar,Bharatiya Janata Party,RAJESH PANDEY URF GUDDU,55,GEN,Male,370051,950445,2014,12-05-2014,Post Graduate,110407014,0,#FB7B0D
Bihar,Muzaffarpur,Bharatiya Janata Party,AJAY NISHAD,45,GEN,Male,469295,948887,2014,07-05-2014,Graduate,145712654,0,#FB7B0D
Gujarat,Surat,Bharatiya Janata Party,DARSHANA VIKRAM JARDOSH,53,GEN,Female,718412,947922,2014,30-04-2014,Graduate,18038444,0,#FB7B0D
Kerala,Kannur,Communist Party Of India  (Marxist),P K SREEMATHI TEACHER,64,GEN,Female,427622,947117,2014,10-04-2014,Others,16939970,8,#DE0000
Maharashtra,Mumbai North,Bharatiya Janata Party,GOPAL CHINAYYA SHETTY,60,GEN,Male,664004,946562,2014,24-04-2014,5th,95617889,10,#FB7B0D
Gujarat,Kachchh,Bharatiya Janata Party,CHAVDA VINOD LAKHAMASHI,35,GEN,Male,562855,946240,2014,30-04-2014,Graduate Professional,5618643,0,#FB7B0D
Gujarat,Surendranagar,Bharatiya Janata Party,FATEPARA DEVAJIBHAI GOVINDBHAI,55,GEN,Male,529003,944677,2014,30-04-2014,Literate,11685000,1,#FB7B0D
Uttar Pradesh,Kaiserganj,Bharatiya Janata Party,BRIJ BHUSAN SHARAN SINGH,57,GEN,Male,381500,943357,2014,07-05-2014,Graduate Professional,61696767,2,#FB7B0D
Kerala,Kozhikode,Indian National Congress,M .K RAGHAVAN,61,GEN,Male,397615,943009,2014,10-04-2014,Graduate,6164901,0,#019733
Uttar Pradesh,Ballia,Bharatiya Janata Party,BHARAT SINGH,62,GEN,Male,359758,942211,2014,12-05-2014,Graduate,21130089,3,#FB7B0D
Tamil Nadu,Nagapattinam,All India Anna Dravida Munnetra Kazhagam,GOPAL. DR. K,54,GEN,Male,434174,942202,2014,24-04-2014,Graduate Professional,19074709,0,#9DBC2A
Uttar Pradesh,Nagina,Bharatiya Janata Party,YASHWANT SINGH,52,GEN,Male,367825,942196,2014,17-04-2014,Post Graduate,34806740,0,#FB7B0D
Gujarat,Junagadh,Bharatiya Janata Party,CHUDASAMA RAJESHBHAI NARANBHAI,31,GEN,Male,513179,941378,2014,30-04-2014,12th,7446059,1,#FB7B0D
Bihar,Jhanjharpur,Bharatiya Janata Party,BIRENDRA KUMAR CHAUDHARY,60,GEN,Male,335481,941249,2014,30-04-2014,Post Graduate,5158792,0,#FB7B0D
Uttar Pradesh,Etawah,Bharatiya Janata Party,ASHOK KUMAR DOHAREY,43,GEN,Male,439646,939604,2014,24-04-2014,Graduate,12252688,0,#FB7B0D
Maharashtra,Nashik,Shivsena,GODSE HEMANT TUKARAM,43,GEN,Male,494735,937405,2014,24-04-2014,12th,83611067,1,#F05A00
Uttar Pradesh,Domariyaganj,Bharatiya Janata Party,JAGDAMBIKA PAL,64,GEN,Male,298845,935027,2014,12-05-2014,Post Graduate,17822082,0,#FB7B0D
Uttar Pradesh,Bahraich,Bharatiya Janata Party,SADHVI SAVITRI BAI FOOLE,33,GEN,Female,432392,934263,2014,07-05-2014,Graduate,1121491,8,#FB7B0D
Gujarat,Panchmahal,Bharatiya Janata Party,CHAUHAN PRABHATSINH PRATAPSINH,72,GEN,Male,508274,933461,2014,30-04-2014,10th,10464000,3,#FB7B0D
Tamil Nadu,Nilgiris,All India Anna Dravida Munnetra Kazhagam,"GOPALAKRISHNAN, C.",52,GEN,Male,463700,933076,2014,24-04-2014,Post Graduate,10941189,0,#9DBC2A
Maharashtra,Shirdi,Shivsena,LOKHANDE SADASHIV KISAN,51,GEN,Male,532936,932645,2014,17-04-2014,10th,38294539,1,#F05A00
Assam,Jorhat,Bharatiya Janata Party,KAMAKHYA PRASAD TASA,38,GEN,Male,456420,931336,2014,07-04-2014,Post Graduate,1694785,0,#FB7B0D
Rajasthan,Dausa,Bharatiya Janata Party,HARISH CHANDRA MEENA,59,GEN,Male,315059,930492,2014,24-04-2014,Graduate,60394789,0,#FB7B0D
Rajasthan,Bikaner,Bharatiya Janata Party,ARJUN RAM MEGHWAL,60,GEN,Male,584932,929751,2014,17-04-2014,Post Graduate,18142863,0,#FB7B0D
Bihar,Kishanganj,Indian National Congress,MOHAMMAD ASRARUL HAQUE,67,GEN,Male,493461,928490,2014,24-04-2014,Post Graduate,4616629,2,#019733
Kerala,Alathur,Communist Party of India  (Marxist),P.K.BIJU,39,GEN,Male,411808,927228,2014,10-04-2014,Post Graduate,3231047,0,#DE0000
Uttar Pradesh,Etah,Bharatiya Janata Party,RAJVEER SINGH (RAJU BHAIYA),53,GEN,Male,474978,926281,2014,24-04-2014,Graduate Professional,251921157,0,#FB7B0D
Bihar,Vaishali,Lok Jan Shakti Party,RAMA KISHORE SINGH,51,GEN,Male,305450,925937,2014,12-05-2014,Graduate,21610218,4,#999
Bihar,Nalanda,Janata Dal  (United),KAUSHLENDRA KUMAR,49,GEN,Male,321982,921761,2014,17-04-2014,12th,11815717,0,#8064a2
Kerala,Thrissur,Communist Party of India,C. N. JAYADEVAN,63,GEN,Male,389209,920505,2014,10-04-2014,Post Graduate,20041642,3,#DE0000
Gujarat,Bhavnagar,Bharatiya Janata Party,DR. BHARATIBEN DHIRUBHAI SHIYAL,50,GEN,Female,549529,917402,2014,30-04-2014,Graduate Professional,7748925,0,#FB7B0D
Tamil Nadu,Thoothukkudi,All India Anna Dravida Munnetra Kazhagam,JEYASINGH THIYAGARAJ NATTERJEE.J,60,GEN,Male,366052,916778,2014,24-04-2014,Post Graduate,9822294,0,#9DBC2A
Kerala,Wayanad,Indian National Congress,M I SHANAVAS,62,GEN,Male,377035,915006,2014,10-04-2014,Post Graduate,27122055,0,#019733
Bihar,Munger,Lok Jan Shakti Party,VEENA DEVI,41,GEN,Female,352911,914350,2014,17-04-2014,8th,31162836,0,#999
Madhya Pradesh,Satna,Bharatiya Janata Party,GANESH SINGH,51,GEN,Male,375288,913444,2014,10-04-2014,Post Graduate,37800000,2,#FB7B0D
Madhya Pradesh,Damoh,Bharatiya Janata Party,PRAHALAD SINGH PATEL,54,GEN,Male,513079,912080,2014,17-04-2014,Graduate Professional,39586235,0,#FB7B0D
Kerala,Palakkad,Communist Party of India  (Marxist),M B RAJESH,43,GEN,Male,412897,910322,2014,10-04-2014,Graduate Professional,4676316,11,#DE0000
Tamil Nadu,Chennai North,All India Anna Dravida Munnetra Kazhagam,VENKATESH BABU .T.G,53,GEN,Male,406704,910114,2014,24-04-2014,Post Graduate,37038275,0,#9DBC2A
Uttar Pradesh,Kaushambi,Bharatiya Janata Party,VINOD KUMAR SONKAR,44,GEN,Male,331593,910038,2014,07-05-2014,Graduate,27091681,0,#FB7B0D
Andhra Pradesh,Aruku,Yuvajana Sramika Rythu Congress Party,KOTHAPALLI GEETHA,43,GEN,Female,413191,909614,2014,07-05-2014,Post Graduate,65147467,0,#999
Odisha,Berhampur,Biju Janata Dal,SIDHANT MOHAPATRA,47,GEN,Male,398107,905362,2014,10-04-2014,Post Graduate,16462430,0,#000000
Bihar,Hajipur (Sc),Lok Jan Shakti Party,RAMVILAS PASWAN,67,GEN,Male,455652,904753,2014,07-05-2014,Post Graduate,9642023,2,#999
Bihar,Gopalganj (Sc),Bharatiya Janata Party,JANAK RAM,42,GEN,Male,478773,903583,2014,12-05-2014,Post Graduate,10582664,2,#FB7B0D
Jharkhand,Dumka,Jharkhand Mukti Morcha,SHIBU SOREN,68,GEN,Male,335815,903060,2014,24-04-2014,10th,46760684,0,#999
Bihar,Sitamarhi,Rashtriya Lok Samta Party,RAM KUMAR SHARMA,50,GEN,Male,411265,900588,2014,07-05-2014,Post Graduate,9265000,0,#999
Gujarat,Dahod,Bharatiya Janata Party,JASVANTSINH SUMANBHAI BHABHOR,47,GEN,Male,511111,900381,2014,30-04-2014,Graduate Professional,19661231,0,#FB7B0D
Bihar,Valmiki Nagar,Bharatiya Janata Party,SATISH CHANDRA DUBEY,39,GEN,Male,364011,900114,2014,12-05-2014,10th,6061576,3,#FB7B0D
Bihar,Banka,Rashtriya Janata Dal,JAI PRAKASH NARAYAN YADAV,60,GEN,Male,285150,899353,2014,24-04-2014,Post Graduate,27846274,2,#999
Uttar Pradesh,Lalganj,Bharatiya Janata Party,NEELAM SONKAR,38,GEN,Female,324016,898655,2014,12-05-2014,Post Graduate,33863562,1,#FB7B0D
Odisha,Aska,Biju Janata Dal,LADU KISHORE SWAIN,66,GEN,Male,541473,896281,2014,10-04-2014,Graduate,3488390,0,#000000
Maharashtra,Ratnagiri - Sindhudurg,Shivsena,VINAYAK BHAURAO RAUT,60,GEN,Male,493088,896256,2014,17-04-2014,Post Graduate,44568629,5,#F05A00
Bihar,Khagaria,Lok Jan Shakti Party,CHOUDHARY MAHBOOB ALI KAISER,47,GEN,Male,313806,896231,2014,30-04-2014,Graduate,66569502,1,#999
Maharashtra,Mumbai North West,Shivsena,GAJANAN CHANDRAKANT KIRTIKAR,70,GEN,Male,464820,895517,2014,24-04-2014,Graduate,58352000,0,#F05A00
Uttar Pradesh,Pratapgarh,Apna Dal,KUWAR HARIVANSH SINGH,64,GEN,Male,375789,894456,2014,07-05-2014,Graduate,383137665,5,#999
Bihar,Arrah,Bharatiya Janata Party,RAJ KUMAR SINGH,61,GEN,Male,391074,893213,2014,17-04-2014,Graduate Professional,48403293,0,#FB7B0D
Madhya Pradesh,Sagar,Bharatiya Janata Party,LAXMI NARAYAN YADAV,73,GEN,Male,482580,891929,2014,17-04-2014,Post Graduate,23962099,1,#FB7B0D
Odisha,Bhubaneswar,Biju Janata Dal,PRASANNA KUMAR PATASANI,71,GEN,Male,439252,891822,2014,17-04-2014,Post Graduate,13557443,0,#000000
Uttar Pradesh,Allahabad,Bharatiya Janata Party,SHYAMA CHARAN GUPTA,69,GEN,Male,313772,891582,2014,07-05-2014,Graduate Professional,472851707,0,#FB7B0D
Assam,Dibrugarh,Bharatiya Janata Party,RAMESWAR TELI,43,GEN,Male,494364,890968,2014,07-04-2014,10th,977943,0,#FB7B0D
Kerala,Mavelikkara,Indian National Congress,KODIKUNNIL SURESH,52,GEN,Male,402432,889060,2014,10-04-2014,Graduate Professional,13251330,1,#019733
Bihar,Buxar,Bharatiya Janata Party,ASHWINI KUMAR CHOUBEY,61,GEN,Male,319012,888204,2014,17-04-2014,Graduate,22094499,0,#FB7B0D
Assam,Karimganj,All India United Democratic Front,RADHESHYAM BISWAS,59,GEN,Male,362866,886920,2014,12-04-2014,12th,7068281,0,#999
Gujarat,Banaskantha,Bharatiya Janata Party,CHAUDHARY HARIBHAI PARTHIBHAI,59,GEN,Male,507856,886634,2014,30-04-2014,Graduate,15773564,0,#FB7B0D
Uttar Pradesh,Robertsganj,Bharatiya Janata Party,CHHOTELAL,41,GEN,Male,378211,885873,2014,12-05-2014,5th,3687361,0,#FB7B0D
Bihar,Nawada,Bharatiya Janata Party,GIRIRAJ SINGH,61,GEN,Male,390248,884441,2014,10-04-2014,Graduate,50054771,1,#FB7B0D
Kerala,Chalakudy,Independent,INNOCENT,66,GEN,Male,358440,884033,2014,10-04-2014,8th,54474761,0,#95b3d7
Bihar,Siwan,Bharatiya Janata Party,OM PRAKASH YADAV,48,GEN,Male,372670,884021,2014,12-05-2014,Graduate,2213023,1,#FB7B0D
Bihar,Patna Sahib,Bharatiya Janata Party,SHATRUGHANA SINHA,67,GEN,Male,485905,882262,2014,17-04-2014,Graduate,1317405961,1,#FB7B0D
Kerala,Kollam,Revolutionary Socialist Party,N.K.PREMACHANDRAN,53,GEN,Male,408528,879056,2014,10-04-2014,Graduate Professional,16228989,1,#999
Uttar Pradesh,Bansgaon,Bharatiya Janata Party,KAMLESH PASWAN,38,GEN,Male,417959,877877,2014,12-05-2014,Graduate,101640625,0,#FB7B0D
Maharashtra,Bhiwandi,Bharatiya Janata Party,KAPIL MORESHWAR PATIL,53,GEN,Male,411070,875605,2014,24-04-2014,Graduate,363758831,0,#FB7B0D
Uttar Pradesh,Amethi,Indian National Congress,RAHUL GANDHI,43,GEN,Male,408651,874625,2014,07-05-2014,Post Graduate,94006549,0,#019733
Madhya Pradesh,Khajuraho,Bharatiya Janata Party,NAGENDRA SINGH,72,GEN,Male,474966,874477,2014,17-04-2014,Graduate,44538002,0,#FB7B0D
Uttar Pradesh,Gonda,Bharatiya Janata Party,KIRTI VARDHAN SINGH,48,GEN,Male,359643,873732,2014,07-05-2014,Post Graduate,74738429,0,#FB7B0D
Kerala,Thiruvananthapuram,Indian National Congress,DR. SHASHI THAROOR,58,GEN,Male,297806,873439,2014,10-04-2014,Doctorate,230275186,0,#019733
Kerala,Ponnani,Indian Union Muslim League,E. T. MOHAMMED BASHEER,67,GEN,Male,378503,871592,2014,10-04-2014,12th,13216259,0,#999
Kerala,Pathanamthitta,Indian National Congress,ANTO ANTONY,57,GEN,Male,358842,869452,2014,10-04-2014,Graduate,5410884,0,#019733
Bihar,Saran,Bharatiya Janata Party,RAJIV PRATAP RUDY,53,GEN,Male,355120,863254,2014,07-05-2014,Post Graduate,62545997,1,#FB7B0D
Bihar,Samastipur (Sc),Lok Jan Shakti Party,RAM CHANDRA PASWAN,53,GEN,Male,270401,863199,2014,30-04-2014,10th,13058612,3,#999
Maharashtra,Mumbai North East,Bharatiya Janata Party,KIRIT  SOMAIYA,60,GEN,Male,525285,861761,2014,24-04-2014,Doctorate,72156258,10,#FB7B0D
Bihar,Madhubani,Bharatiya Janata Party,HUKM DEO NARAYAN YADAV,77,GEN,Male,358040,860453,2014,30-04-2014,Graduate,115196945,0,#FB7B0D
Kerala,Attingal,Communist Party Of India  (Marxist),DR.A .SAMPATH,51,GEN,Male,392478,859350,2014,10-04-2014,Doctorate,17791149,1,#DE0000
Bihar,Ujiarpur,Bharatiya Janata Party,NITYANAND RAI,48,GEN,Male,317352,858920,2014,07-05-2014,Graduate,146743540,1,#FB7B0D
Uttar Pradesh,Banda,Bharatiya Janata Party,BHAIRON PRASAD MISHRA,60,GEN,Male,342066,858326,2014,30-04-2014,12th,50034910,3,#FB7B0D
Bihar,Paschim Champaran,Bharatiya Janata Party,DR. SANJAY JAISWAL,49,GEN,Male,371232,854800,2014,12-05-2014,Post Graduate,35941299,2,#FB7B0D
Uttar Pradesh,Salempur,Bharatiya Janata Party,RAVINDRA KUSHAWAHA,50,GEN,Male,392213,854749,2014,12-05-2014,12th,7134477,0,#FB7B0D
Madhya Pradesh,Morena,Bharatiya Janata Party,ANOOP MISHRA,57,GEN,Male,375567,854279,2014,17-04-2014,12th,110523112,0,#FB7B0D
Kerala,Malappuram,Indian Union Muslim League,E. AHAMED,76,GEN,Male,437723,853467,2014,10-04-2014,Graduate Professional,11818952,1,#999
Gujarat,Jamnagar,Bharatiya Janata Party,POONAMBEN HEMATBHAI MAADAM,39,GEN,Female,484412,852643,2014,30-04-2014,Graduate,174372249,0,#FB7B0D
Kerala,Ernakulam,Indian National Congress,PROF. K.V. THOMAS,67,GEN,Male,353841,850834,2014,10-04-2014,Post Graduate,11848550,0,#019733
Bihar,Sasaram (Sc),Bharatiya Janata Party,CHHEDI PASWAN,58,GEN,Male,366087,846788,2014,10-04-2014,Post Graduate,35776803,0,#FB7B0D
Rajasthan,Karauli-Dholpur,Bharatiya Janata Party,MANOJ RAJORIA,43,GEN,Male,402407,845941,2014,24-04-2014,12th,28636113,0,#FB7B0D
Maharashtra,Mumbai North Central,Bharatiya Janata Party,POONAM MAHAJAN ALIAS POONAM VAJENDLA RAO,33,GEN,Female,478535,845292,2014,24-04-2014,Others,1080867626,0,#FB7B0D
Bihar,Sheohar,Bharatiya Janata Party,RAMA DEVI,65,GEN,Female,372506,842894,2014,07-05-2014,Post Graduate,308591850,5,#FB7B0D
Odisha,Kandhamal,Biju Janata Dal,HEMENDRA CHANDRA SINGH,46,GEN,Male,421458,839415,2014,10-04-2014,Graduate,503907437,2,#000000
Uttar Pradesh,Kanpur,Bharatiya Janata Party,DR.MURLI MANOHAR JOSHI,80,GEN,Male,474712,835079,2014,30-04-2014,Doctorate,78410008,1,#FB7B0D
